Prefetcher,Trace,IPC,L1D_MPKI,L2_MPKI,LLC_MPKI,Simulation_Time(s),L2_Prefetch_Requested,L2_Prefetch_Useful,L2_Prefetch_Accuracy
No,trace1,0.270017,47.8861,39.4864,18.394,21,0,0,0.0
No,trace2,0.561142,45.4803,38.7349,26.0084,10,0,0,0.0
No,trace3,0.169089,150.736,153.773,130.046,27,0,0,0.0
No,trace4,0.150547,46.3181,105.738,91.0034,33,0,0,0.0
PMP,trace1,0.299144,47.8861,39.5691,18.4557,21,1271752,229131,64.7484
PMP,trace2,0.561888,45.4794,38.9412,26.1082,9,6228,2080,44.0491
PMP,trace3,0.327471,150.737,185.588,184.325,27,5012240,1291444,54.0054
PMP,trace4,0.155593,46.3167,107.926,93.3098,32,2084016,436483,69.2533



