workload,pmp_Speedup,pmp_Overall_Accuracy,pmp_LLC_Coverage,pmp_L1D_Accuracy,pmp_L2C_Accuracy,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless
ya_warmup5000000_sim5000000-482.sphinx3-417B,1.3222,0.7427,0.6462,0.9789,0.5647,18561,401,14207,10951
ya_warmup5000000_sim5000000-456.hmmer-191B,1.0147,0.9687,0.9583,0.9016,0.9881,696,76,2648,32
ya_warmup5000000_sim5000000-458.sjeng-283B,1.0009,0.0403,0.0503,0.0610,0.0391,21,323,232,5696
ya_warmup5000000_sim5000000-444.namd-33B,1.0395,0.8288,0.8752,0.5570,0.9988,293,233,840,1
ya_warmup5000000_sim5000000-444.namd-426B,1.0441,0.7510,0.7542,0.6864,0.7943,567,259,977,253
ya_warmup5000000_sim5000000-462.libquantum-1343B,1.7075,1.0000,0.8979,1.0000,0.0000,101510,0,0,0
ya_warmup5000000_sim5000000-464.h264ref-97B,0.9991,0.5220,0.4545,0.8635,0.0911,2081,329,174,1736
ya_warmup5000000_sim5000000-602.gcc_s-1850B,2.2948,0.9523,0.9034,0.9555,0.9477,50450,2350,34068,1881
ya_warmup5000000_sim5000000-403.gcc-17B,1.2428,0.4068,0.6589,0.5106,0.4066,48,46,25021,36509
ya_warmup5000000_sim5000000-410.bwaves-945B,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0
ya_warmup5000000_sim5000000-459.GemsFDTD-1491B,2.0824,0.9214,0.8728,0.8916,0.9409,40940,4977,66126,4153
ya_warmup5000000_sim5000000-433.milc-337B,1.1267,0.9911,0.6015,0.9949,0.9849,22215,113,13785,212
ya_warmup5000000_sim5000000-482.sphinx3-1297B,1.4111,0.8309,0.7742,0.9807,0.6914,21933,431,16606,7412
ya_warmup5000000_sim5000000-456.hmmer-327B,1.0133,0.9732,0.9098,0.8914,0.9928,591,72,2745,20
ya_warmup5000000_sim5000000-473.astar-153B,0.9147,0.2386,0.0000,0.4571,0.2294,288,342,3430,11520
ya_warmup5000000_sim5000000-450.soplex-92B,1.3290,0.5225,0.5630,0.8050,0.5148,2225,539,52125,49125
ya_warmup5000000_sim5000000-458.sjeng-767B,1.0002,0.0272,0.0368,0.0673,0.0255,15,208,140,5344
ya_warmup5000000_sim5000000-400.perlbench-50B,0.9982,0.7647,0.3000,0.5789,1.0000,11,8,15,0
ya_warmup5000000_sim5000000-459.GemsFDTD-1169B,1.0207,0.9493,0.8990,0.9540,0.8834,15562,751,1030,136
ya_warmup5000000_sim5000000-410.bwaves-1963B,2.1818,0.9999,0.7661,0.9998,1.0000,37186,8,31630,0
ya_warmup5000000_sim5000000-403.gcc-16B,1.0050,0.1857,0.4340,0.3520,0.1736,151,278,1022,4865
ya_warmup5000000_sim5000000-437.leslie3d-134B,1.4001,0.6675,0.7785,0.8600,0.6160,4588,747,12290,7661
ya_warmup5000000_sim5000000-453.povray-576B,1.0044,0.3700,0.7361,0.3056,0.8106,276,627,107,25
ya_warmup5000000_sim5000000-445.gobmk-30B,1.0132,0.1131,0.2888,0.1364,0.1128,18,114,1013,7969
ya_warmup5000000_sim5000000-482.sphinx3-1522B,1.4995,0.7530,0.7088,0.9777,0.6104,20446,467,20104,12831
ya_warmup5000000_sim5000000-483.xalancbmk-736B,1.0073,0.4586,0.0000,0.5473,0.1599,8751,7238,759,3988
ya_warmup5000000_sim5000000-437.leslie3d-265B,1.3549,0.9797,0.7791,0.9302,0.9913,3437,258,15621,137
ya_warmup5000000_sim5000000-481.wrf-1254B,1.6160,0.9696,0.9479,0.9685,0.9713,24640,802,16436,485
ya_warmup5000000_sim5000000-481.wrf-816B,2.1408,0.9741,0.9617,0.9751,0.9528,61180,1560,2807,139
ya_warmup5000000_sim5000000-445.gobmk-36B,1.0117,0.1319,0.2583,0.1595,0.1314,26,137,1230,8131
ya_warmup5000000_sim5000000-600.perlbench_s-1273B,1.0002,1.0000,0.4000,1.0000,1.0000,1,0,1,0
ya_warmup5000000_sim5000000-462.libquantum-714B,0.9535,0.9999,0.7945,0.9999,1.0000,107939,8,557,0
ya_warmup5000000_sim5000000-445.gobmk-2B,1.0034,0.2209,0.2653,0.1509,0.2213,8,45,2316,8151
ya_warmup5000000_sim5000000-602.gcc_s-2226B,1.0879,0.8263,0.2613,0.9141,0.6666,64428,6058,25818,12911
ya_warmup5000000_sim5000000-481.wrf-196B,1.1094,0.9504,0.9199,0.9406,0.9813,12327,779,4095,78
ya_warmup5000000_sim5000000-481.wrf-1281B,1.5238,0.9600,0.9379,0.9645,0.9415,25025,922,5972,371
ya_warmup5000000_sim5000000-429.mcf-51B,1.0356,0.2194,0.1394,0.1950,0.2196,248,1024,48273,171564
ya_warmup5000000_sim5000000-437.leslie3d-232B,1.6129,0.9796,0.7953,0.9335,0.9923,4931,351,19019,148
ya_warmup5000000_sim5000000-482.sphinx3-1395B,1.4380,0.9064,0.7732,0.9814,0.7392,35037,664,11839,4176
ya_warmup5000000_sim5000000-444.namd-120B,1.0165,0.8033,0.8410,0.7257,1.0000,992,375,539,0
ya_warmup5000000_sim5000000-435.gromacs-134B,1.0055,0.5459,0.6893,0.2895,0.5866,22,54,281,198
ya_warmup5000000_sim5000000-473.astar-42B,1.0764,0.0994,0.5468,0.1515,0.0711,7427,41596,6417,83882
ya_warmup5000000_sim5000000-410.bwaves-2097B,2.1570,1.0000,0.7587,1.0000,1.0000,34598,0,33454,0
ya_warmup5000000_sim5000000-459.GemsFDTD-1320B,1.0298,0.0814,0.2259,0.1631,0.0705,1078,5531,3491,46010
ya_warmup5000000_sim5000000-471.omnetpp-188B,0.9401,0.2417,0.1262,0.3891,0.2413,100,157,19783,62219
ya_warmup5000000_sim5000000-444.namd-321B,1.0048,0.6533,0.8534,0.6167,1.0000,724,450,124,0
ya_warmup5000000_sim5000000-459.GemsFDTD-765B,1.2328,0.7402,0.3934,0.9930,0.4654,13362,94,5759,6616
ya_warmup5000000_sim5000000-437.leslie3d-149B,1.4408,0.7007,0.7971,0.8658,0.6650,3644,565,12954,6525
ya_warmup5000000_sim5000000-435.gromacs-228B,1.0089,0.6351,0.4149,0.2468,1.0000,96,293,414,0
ya_warmup5000000_sim5000000-459.GemsFDTD-1211B,1.2104,0.6808,0.4701,0.9906,0.4693,12548,119,8709,9849
ya_warmup5000000_sim5000000-429.mcf-184B,1.0302,0.1325,0.0365,0.0000,0.1325,0,0,28175,184496
ya_warmup5000000_sim5000000-436.cactusADM-1804B,1.1866,0.9938,0.5498,0.9371,0.9981,521,35,7280,14
ya_warmup5000000_sim5000000-444.namd-166B,1.0417,0.8370,0.8096,0.6074,1.0000,475,307,1102,0
ya_warmup5000000_sim5000000-482.sphinx3-234B,1.4603,0.7363,0.6551,0.9831,0.6496,13382,230,25182,13583
ya_warmup5000000_sim5000000-600.perlbench_s-210B,1.0001,0.5284,0.4113,0.2537,0.9116,52,153,134,13
ya_warmup5000000_sim5000000-465.tonto-44B,0.9995,0.5625,0.5094,0.6818,0.5270,15,7,39,35
ya_warmup5000000_sim5000000-473.astar-359B,1.0537,0.3081,0.2406,0.2046,0.3172,1292,5022,22899,49296
ya_warmup5000000_sim5000000-483.xalancbmk-716B,1.0335,0.3047,0.3464,0.2937,0.3763,3750,9019,738,1223
ya_warmup5000000_sim5000000-401.bzip2-226B,1.0022,0.9987,0.7675,0.9987,0.0000,1499,2,0,0
ya_warmup5000000_sim5000000-470.lbm-1274B,0.9101,0.9989,0.7707,1.0000,0.6477,27523,0,57,31
ya_warmup5000000_sim5000000-454.calculix-460B,1.0845,0.8665,0.8904,0.8790,0.8533,13135,1808,12030,2069
ya_warmup5000000_sim5000000-437.leslie3d-271B,1.9419,0.9917,0.9598,0.9917,1.0000,11744,98,30,0
ya_warmup5000000_sim5000000-435.gromacs-111B,1.0055,0.3871,0.7045,0.1684,0.5708,63,311,254,191
ya_warmup5000000_sim5000000-429.mcf-217B,1.5926,0.8512,0.8204,0.9077,0.8438,3559,362,25016,4632
ya_warmup5000000_sim5000000-429.mcf-22B,1.0558,0.5808,0.2426,0.9656,0.5530,2330,83,18440,14906
ya_warmup5000000_sim5000000-453.povray-800B,1.0035,0.3898,0.7589,0.3538,1.0000,432,789,72,0
ya_warmup5000000_sim5000000-465.tonto-1914B,1.0077,0.6060,0.4570,0.8833,0.3371,1514,200,596,1172
ya_warmup5000000_sim5000000-453.povray-887B,1.0016,0.3858,0.8033,0.3745,0.9394,606,1012,31,2
ya_warmup5000000_sim5000000-401.bzip2-38B,1.1104,0.8722,0.5733,0.0000,0.8731,0,8,6525,948
ya_warmup5000000_sim5000000-459.GemsFDTD-1418B,1.7523,0.9232,0.8147,0.8728,0.9367,4805,700,19245,1300
ya_warmup5000000_sim5000000-483.xalancbmk-127B,1.1274,0.3072,0.3475,0.3183,0.3072,148,317,48170,108629
