workload,ipc_no,ipc_pmp,pmp_Speedup,pmp_Overall_Accuracy,pmp_LLC_Coverage,pmp_L1D_Accuracy,pmp_L2C_Accuracy,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless
ya_warmup5000000_sim5000000-482.sphinx3-417B,1.2470,1.6311,1.3081,0.5175,0.7617,0.9789,0.3567,19084,411,19949,35980
ya_warmup5000000_sim5000000-456.hmmer-191B,3.4690,3.5155,1.0134,0.9644,0.8833,0.9334,0.9844,1233,88,2017,32
ya_warmup5000000_sim5000000-458.sjeng-283B,1.4030,1.3994,0.9975,0.0349,0.0618,0.0494,0.0344,17,327,370,10390
ya_warmup5000000_sim5000000-444.namd-33B,3.5182,3.6594,1.0401,0.8162,0.9097,0.6038,1.0000,445,292,852,0
ya_warmup5000000_sim5000000-444.namd-426B,3.4245,3.5928,1.0491,0.7247,0.8558,0.6907,0.7524,833,373,1115,367
ya_warmup5000000_sim5000000-462.libquantum-1343B,1.2984,2.2169,1.7075,1.0000,0.8979,1.0000,0.0000,101510,0,0,0
ya_warmup5000000_sim5000000-464.h264ref-97B,2.7331,2.7298,0.9988,0.4648,0.5853,0.8606,0.1006,2117,343,269,2404
ya_warmup5000000_sim5000000-602.gcc_s-1850B,0.6115,1.4407,2.3560,0.9424,0.9126,0.9516,0.9272,54429,2766,32419,2546
ya_warmup5000000_sim5000000-403.gcc-17B,0.8978,1.2701,1.4147,0.3551,0.8652,0.6577,0.3544,146,76,32798,59752
ya_warmup5000000_sim5000000-410.bwaves-945B,3.0965,3.0965,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0
ya_warmup5000000_sim5000000-459.GemsFDTD-1491B,0.4083,0.8588,2.1033,0.9109,0.8619,0.8916,0.9250,43497,5291,62284,5053
ya_warmup5000000_sim5000000-433.milc-337B,0.7740,0.8670,1.1201,0.7591,0.5976,0.9948,0.5394,22617,119,13154,11233
ya_warmup5000000_sim5000000-482.sphinx3-1297B,1.4568,1.9929,1.3680,0.6474,0.8333,0.9795,0.4308,25278,530,17047,22525
ya_warmup5000000_sim5000000-456.hmmer-327B,3.4709,3.5139,1.0124,0.9798,0.8525,0.9363,0.9983,940,64,2363,4
ya_warmup5000000_sim5000000-473.astar-153B,1.8230,1.7594,0.9651,0.1775,0.0000,0.4103,0.1725,318,457,6287,30149
ya_warmup5000000_sim5000000-450.soplex-92B,0.4195,0.6165,1.4694,0.4023,0.7059,0.7600,0.3948,2786,880,68961,105717
ya_warmup5000000_sim5000000-458.sjeng-767B,1.3616,1.3564,0.9962,0.0284,0.0596,0.0898,0.0272,22,223,332,11893
ya_warmup5000000_sim5000000-400.perlbench-50B,2.5283,2.5250,0.9987,0.9464,0.6250,0.7857,1.0000,11,3,42,0
ya_warmup5000000_sim5000000-459.GemsFDTD-1169B,3.7621,3.8375,1.0200,0.9354,0.8989,0.9536,0.7244,15481,754,1012,385
ya_warmup5000000_sim5000000-410.bwaves-1963B,0.6940,1.5570,2.2434,0.9998,0.7484,0.9996,1.0000,36050,15,31115,0
ya_warmup5000000_sim5000000-403.gcc-16B,2.2925,2.3089,1.0071,0.1348,0.6528,0.3748,0.1241,193,322,1439,10152
