workload,ipc_no,ipc_adaptive,speedup_adaptive,accuracy_overall_adaptive,coverage_llc_adaptive,accuracy_l1d_adaptive,accuracy_l2c_adaptive,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless,ipc_default,speedup_default,accuracy_overall_default,coverage_llc_default,accuracy_l1d_default,accuracy_l2c_default
ya_warmup5000000_sim5000000-482.sphinx3-417B,1.2470,1.6412,1.3161,0.5217,0.7671,0.9809,0.3608,19185,373,20137,35680,1.6513,1.3242,0.6417,0.7065,0.8995,0.3043
ya_warmup5000000_sim5000000-456.hmmer-191B,3.4690,3.5168,1.0138,0.9676,0.9417,0.8472,0.9888,427,77,2833,32,3.5174,1.0139,0.8164,0.9167,0.8162,0.8269
ya_warmup5000000_sim5000000-458.sjeng-283B,1.4030,1.3990,0.9971,0.0344,0.0607,0.0339,0.0344,8,228,374,10502,1.4015,0.9989,0.0456,0.0542,0.0723,0.0326
ya_warmup5000000_sim5000000-444.namd-33B,3.5182,3.6587,1.0399,0.8840,0.9106,0.6000,1.0000,216,144,881,0,3.6636,1.0413,0.5159,0.8948,0.4948,1.0000
ya_warmup5000000_sim5000000-444.namd-426B,3.4245,3.5844,1.0467,0.7453,0.8484,0.6067,0.7812,273,177,1357,380,3.5989,1.0509,0.5611,0.8179,0.5480,0.6788
ya_warmup5000000_sim5000000-462.libquantum-1343B,1.2984,2.2171,1.7076,1.0000,0.8979,1.0000,0.0000,101510,0,0,0,2.2169,1.7075,0.9986,0.8979,0.9986,0.0000
ya_warmup5000000_sim5000000-464.h264ref-97B,2.7331,2.7296,0.9987,0.4630,0.5901,0.8796,0.1109,1950,267,291,2332,2.7311,0.9992,0.5866,0.5008,0.7583,0.1441
ya_warmup5000000_sim5000000-602.gcc_s-1850B,0.6115,1.4313,2.3407,0.9438,0.9137,0.9519,0.9345,46365,2344,39764,2786,1.4684,2.4012,0.8365,0.9012,0.8400,0.5697
ya_warmup5000000_sim5000000-403.gcc-17B,0.8978,1.2693,1.4138,0.3558,0.8648,0.4464,0.3558,25,31,32896,59567,1.2380,1.3789,0.3870,0.8179,0.4728,0.3769
ya_warmup5000000_sim5000000-410.bwaves-945B,3.0965,3.0965,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,3.0965,1.0000,0.0000,0.0000,0.0000,0.0000
ya_warmup5000000_sim5000000-459.GemsFDTD-1491B,0.4083,0.8844,2.1659,0.9121,0.8811,0.8896,0.9257,39707,4929,68404,5494,0.7343,1.7982,0.9078,0.7715,0.9100,0.1315
ya_warmup5000000_sim5000000-433.milc-337B,0.7740,0.8638,1.1160,0.7543,0.5897,0.9917,0.0860,34249,285,1055,11217,0.8686,1.1222,0.9740,0.5877,0.9773,0.5338
ya_warmup5000000_sim5000000-482.sphinx3-1297B,1.4568,1.9906,1.3664,0.6478,0.8394,0.9819,0.4730,21961,405,20234,22540,2.0298,1.3933,0.7364,0.7999,0.9224,0.2824
ya_warmup5000000_sim5000000-456.hmmer-327B,3.4709,3.5170,1.0133,0.9798,0.9426,0.9005,0.9910,371,41,2875,26,3.5127,1.0121,0.8192,0.8033,0.8192,0.8182
ya_warmup5000000_sim5000000-473.astar-153B,1.8230,1.7615,0.9662,0.1842,0.0006,0.5098,0.1800,233,224,6373,29042,1.6732,0.9178,0.1639,0.0000,0.2263,0.1401
ya_warmup5000000_sim5000000-450.soplex-92B,0.4195,0.6181,1.4734,0.4017,0.7128,0.8485,0.3952,2184,390,70136,107339,0.5951,1.4185,0.4546,0.6451,0.6336,0.3736
ya_warmup5000000_sim5000000-458.sjeng-767B,1.3616,1.3567,0.9964,0.0279,0.0615,0.0793,0.0272,13,151,333,11899,1.3593,0.9983,0.0352,0.0419,0.0597,0.0209
ya_warmup5000000_sim5000000-400.perlbench-50B,2.5283,2.5250,0.9987,0.9464,0.6250,0.7857,1.0000,11,3,42,0,2.5248,0.9986,0.4194,0.3250,0.4040,1.0000
ya_warmup5000000_sim5000000-459.GemsFDTD-1169B,3.7621,3.8372,1.0200,0.9365,0.8990,0.9517,0.8980,12044,611,4507,512,3.8396,1.0206,0.9247,0.8987,0.9263,0.6574
ya_warmup5000000_sim5000000-410.bwaves-1963B,0.6940,1.5821,2.2796,0.9998,0.7684,0.9996,1.0000,33131,13,35821,0,1.4293,2.0595,0.9801,0.7282,0.9801,1.0000
ya_warmup5000000_sim5000000-403.gcc-16B,2.2925,2.3094,1.0074,0.1387,0.6401,0.4331,0.1354,55,72,1516,9682,2.3039,1.0050,0.1721,0.4810,0.2849,0.1416
ya_warmup5000000_sim5000000-437.leslie3d-134B,2.3991,3.5120,1.4639,0.5816,0.8520,0.8642,0.5460,3488,548,17541,14583,3.4713,1.4469,0.6141,0.8342,0.7550,0.4296
ya_warmup5000000_sim5000000-453.povray-576B,2.4791,2.4870,1.0032,0.2900,0.7407,0.2645,0.3191,141,392,149,318,2.4776,0.9994,0.2588,0.7315,0.2564,0.5826
ya_warmup5000000_sim5000000-445.gobmk-30B,1.3712,1.3945,1.0170,0.1422,0.3530,0.0833,0.1425,8,88,2284,13742,1.3913,1.0147,0.1360,0.3412,0.2131,0.1014
ya_warmup5000000_sim5000000-482.sphinx3-1522B,1.2131,1.9658,1.6204,0.6395,0.8571,0.9791,0.5118,20484,437,28462,27152,1.9440,1.6025,0.6851,0.8082,0.8757,0.4497
ya_warmup5000000_sim5000000-483.xalancbmk-736B,2.5755,2.5791,1.0014,0.3236,0.0000,0.4861,0.2171,5383,5690,3667,13223,2.5965,1.0082,0.6729,0.0000,0.6908,0.3348
ya_warmup5000000_sim5000000-437.leslie3d-265B,2.2002,3.1127,1.4147,0.9747,0.8466,0.9398,0.9801,2637,169,17878,363,3.0080,1.3672,0.8919,0.7900,0.8692,0.9611
ya_warmup5000000_sim5000000-481.wrf-1254B,1.1232,1.8520,1.6488,0.9636,0.9493,0.9646,0.9622,24183,888,16920,665,1.7060,1.5188,0.9240,0.9349,0.9242,0.9122
ya_warmup5000000_sim5000000-481.wrf-816B,1.5340,3.2941,2.1474,0.9732,0.9628,0.9751,0.9376,60824,1553,3093,206,3.2824,2.1398,0.9743,0.9619,0.9767,0.1765
ya_warmup5000000_sim5000000-445.gobmk-36B,1.4408,1.4715,1.0213,0.1558,0.4259,0.1294,0.1560,11,74,2247,12157,1.4635,1.0158,0.1357,0.3253,0.1739,0.1226
ya_warmup5000000_sim5000000-600.perlbench_s-1273B,3.1774,3.1781,1.0002,1.0000,0.4000,1.0000,1.0000,1,0,1,0,3.1781,1.0002,0.7500,0.4000,0.6667,1.0000
ya_warmup5000000_sim5000000-462.libquantum-714B,1.4798,1.4813,1.0011,0.9999,0.7945,0.9999,1.0000,107947,8,557,0,1.4164,0.9572,0.9986,0.7922,0.9986,0.0000
ya_warmup5000000_sim5000000-445.gobmk-2B,1.6429,1.6542,1.0069,0.2590,0.5414,0.1111,0.2591,3,24,7054,20169,1.6479,1.0031,0.2253,0.3442,0.2425,0.2206
ya_warmup5000000_sim5000000-602.gcc_s-2226B,0.7532,0.8083,1.0733,0.7586,0.2706,0.9094,0.5431,65772,6553,27485,23119,0.8179,1.0860,0.7758,0.2474,0.8199,0.4108
ya_warmup5000000_sim5000000-481.wrf-196B,3.3572,3.7230,1.1090,0.9558,0.9234,0.9507,0.9669,11056,573,5135,176,3.7234,1.1091,0.9294,0.9230,0.9312,0.5980
ya_warmup5000000_sim5000000-481.wrf-1281B,1.1156,1.6981,1.5222,0.9470,0.9383,0.9635,0.8890,24561,930,6473,808,1.7167,1.5388,0.9410,0.9328,0.9428,0.3469
ya_warmup5000000_sim5000000-429.mcf-51B,0.1017,0.1011,0.9935,0.1420,0.3065,0.1511,0.1420,63,354,96749,584612,0.1058,1.0404,0.1719,0.1770,0.1385,0.2221
ya_warmup5000000_sim5000000-437.leslie3d-232B,1.6255,2.7115,1.6681,0.9889,0.8327,0.9323,0.9985,3568,259,22591,34,2.6025,1.6010,0.9187,0.7859,0.8989,0.9807
ya_warmup5000000_sim5000000-482.sphinx3-1395B,1.4413,2.0066,1.3922,0.7596,0.8230,0.9810,0.5050,34528,668,15454,15147,2.0571,1.4273,0.8324,0.8027,0.9351,0.4084
ya_warmup5000000_sim5000000-444.namd-120B,3.4510,3.5107,1.0173,0.8392,0.8960,0.7333,1.0000,635,231,571,0,3.5149,1.0185,0.5492,0.8915,0.5399,1.0000
ya_warmup5000000_sim5000000-435.gromacs-134B,2.3207,2.3380,1.0075,0.6810,0.8350,0.2308,0.6892,6,20,989,446,2.3366,1.0069,0.3459,0.8155,0.2468,0.5437
ya_warmup5000000_sim5000000-473.astar-42B,0.5425,0.5080,0.9364,0.0418,0.0000,0.1449,0.0270,7206,42517,9314,336128,0.5724,1.0551,0.0850,0.4660,0.1121,0.0441
ya_warmup5000000_sim5000000-410.bwaves-2097B,0.6946,1.5543,2.2378,0.9999,0.7574,0.9997,1.0000,34317,9,33660,0,1.4123,2.0333,0.9827,0.7164,0.9827,1.0000
ya_warmup5000000_sim5000000-459.GemsFDTD-1320B,1.9051,2.6820,1.4078,0.3182,0.8401,0.2441,0.3207,302,935,11531,24424,1.9817,1.0402,0.1325,0.2536,0.1875,0.0319
ya_warmup5000000_sim5000000-471.omnetpp-188B,0.4150,0.3606,0.8690,0.2617,0.4520,0.3450,0.2617,59,112,57142,161220,0.3717,0.8957,0.2159,0.2175,0.2570,0.2071
ya_warmup5000000_sim5000000-444.namd-321B,3.5535,3.5738,1.0057,0.6441,0.9424,0.5930,0.9797,577,396,145,3,3.5710,1.0049,0.4497,0.8796,0.4463,1.0000
ya_warmup5000000_sim5000000-459.GemsFDTD-765B,0.9300,1.1470,1.2334,0.4887,0.5779,0.9935,0.3380,12445,81,14184,27782,1.0855,1.1672,0.4850,0.5235,0.9081,0.2492
ya_warmup5000000_sim5000000-437.leslie3d-149B,2.3525,3.5088,1.4915,0.5949,0.8486,0.8484,0.5734,2295,410,18333,13638,3.4271,1.4568,0.6535,0.8130,0.7642,0.5011
ya_warmup5000000_sim5000000-435.gromacs-228B,3.8899,3.9349,1.0116,0.8130,0.7674,0.2355,1.0000,61,198,800,0,3.9286,1.0100,0.2846,0.4967,0.2474,1.0000
ya_warmup5000000_sim5000000-459.GemsFDTD-1211B,1.0403,1.3466,1.2944,0.5504,0.6415,0.9892,0.4228,11282,123,16580,22634,1.2370,1.1891,0.5281,0.5643,0.8907,0.3148
ya_warmup5000000_sim5000000-429.mcf-184B,0.1000,0.1351,1.3509,0.3333,0.5481,0.0000,0.3333,0,10,218092,436184,0.1188,1.1872,0.1635,0.2281,0.0038,0.1859
ya_warmup5000000_sim5000000-436.cactusADM-1804B,1.9157,2.2538,1.1765,0.9953,0.5034,0.9371,0.9968,164,11,6831,22,2.2558,1.1775,0.7204,0.5175,0.6731,0.9882
ya_warmup5000000_sim5000000-444.namd-166B,3.4260,3.5683,1.0415,0.8767,0.8096,0.6040,1.0000,305,200,1117,0,3.5861,1.0467,0.5374,0.8757,0.5017,1.0000
ya_warmup5000000_sim5000000-482.sphinx3-234B,1.0954,1.8398,1.6796,0.6481,0.8589,0.9806,0.5812,12826,254,37808,27243,1.7689,1.6148,0.6923,0.7757,0.8127,0.6032
ya_warmup5000000_sim5000000-600.perlbench_s-210B,3.1553,3.1531,0.9993,0.5391,0.5242,0.1468,0.6945,16,93,191,84,3.1564,1.0003,0.3263,0.4462,0.2560,0.8559
ya_warmup5000000_sim5000000-465.tonto-44B,2.4630,2.4622,0.9997,0.6186,0.5755,0.7619,0.5789,16,5,44,32,2.4621,0.9997,0.6282,0.5000,0.7931,0.5306
ya_warmup5000000_sim5000000-473.astar-359B,0.1571,0.1625,1.0345,0.1153,0.2863,0.2700,0.1113,1646,4450,26207,209174,0.1688,1.0747,0.1192,0.3194,0.1290,0.0963
ya_warmup5000000_sim5000000-483.xalancbmk-716B,2.5160,2.6633,1.0586,0.2089,0.5619,0.1942,0.2369,1968,8166,1261,4061,2.6275,1.0443,0.5552,0.4428,0.5602,0.2604
ya_warmup5000000_sim5000000-401.bzip2-226B,3.3208,3.3281,1.0022,0.9987,0.7711,0.9987,1.0000,1493,2,13,0,3.3280,1.0022,0.9300,0.7670,0.9300,0.0000
ya_warmup5000000_sim5000000-470.lbm-1274B,0.3654,0.3318,0.9080,0.9979,0.7938,1.0000,0.0000,28406,0,0,61,0.3327,0.9103,0.8825,0.7710,0.8825,0.0000
ya_warmup5000000_sim5000000-454.calculix-460B,3.2050,3.4800,1.0858,0.8516,0.9014,0.9047,0.8173,9290,979,12967,2899,3.4979,1.0914,0.7897,0.8998,0.7910,0.7447
ya_warmup5000000_sim5000000-437.leslie3d-271B,1.9342,3.7513,1.9395,0.9897,0.9598,0.9917,0.5455,11744,98,30,25,3.7527,1.9402,0.9917,0.9598,0.9917,0.0000
ya_warmup5000000_sim5000000-435.gromacs-111B,2.3914,2.4103,1.0079,0.6444,0.8866,0.1576,0.7182,32,171,961,377,2.4102,1.0078,0.3365,0.8340,0.1987,0.6219
ya_warmup5000000_sim5000000-429.mcf-217B,1.5601,2.6095,1.6727,0.7957,0.8555,0.9269,0.7818,3321,262,26516,7401,2.5826,1.6555,0.7780,0.8430,0.8252,0.6868
ya_warmup5000000_sim5000000-429.mcf-22B,0.7236,0.7474,1.0328,0.4647,0.3777,0.9660,0.4493,2020,71,30398,37265,0.7675,1.0606,0.5437,0.3315,0.6762,0.4865
ya_warmup5000000_sim5000000-453.povray-800B,2.4652,2.4734,1.0033,0.4151,0.8014,0.3718,0.7458,335,566,88,30,2.4572,0.9968,0.3144,0.7518,0.3127,0.9808
ya_warmup5000000_sim5000000-465.tonto-1914B,2.5620,2.5871,1.0098,0.4988,0.5757,0.9241,0.2856,1388,114,856,2141,2.5813,1.0075,0.6029,0.5200,0.6521,0.2265
ya_warmup5000000_sim5000000-453.povray-887B,2.4918,2.4956,1.0015,0.4126,0.8197,0.3909,0.9714,353,550,34,1,2.4834,0.9966,0.3268,0.8689,0.3262,0.8571
