workload,ipc_no,ipc_pmp,pmp_Speedup,pmp_Overall_Accuracy,pmp_LLC_Coverage,pmp_L1D_Coverage,pmp_L2C_Coverage,pmp_L1D_Accuracy,pmp_L2C_Accuracy,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless
ya_warmup5000000_sim200000000-482.sphinx3-417B,1.0119,1.3031,1.2878,0.4719,0.7099,0.5279,0.6315,0.9820,0.3531,733603,13437,1132695,2075064
ya_warmup5000000_sim200000000-456.hmmer-191B,3.4815,3.4935,1.0034,0.8498,0.5450,0.0427,0.4275,0.7532,0.8538,4492,1472,124728,21359
ya_warmup5000000_sim200000000-458.sjeng-283B,1.4432,1.4268,0.9887,0.0330,0.0092,0.0421,0.0000,0.0923,0.0328,199,1958,15346,453118
ya_warmup5000000_sim200000000-444.namd-33B,3.5352,3.5949,1.0169,0.6781,0.9021,0.0381,0.8410,0.7899,0.6279,14122,3756,25027,14832
ya_warmup5000000_sim200000000-444.namd-426B,3.5566,3.6099,1.0150,0.6003,0.8901,0.0290,0.8085,0.7042,0.5822,5631,2365,26651,19128
ya_warmup5000000_sim200000000-462.libquantum-1343B,0.7570,1.5878,2.0976,1.0000,0.9202,0.3783,0.9199,1.0000,0.9754,4424621,72,1307,33
ya_warmup5000000_sim200000000-464.h264ref-97B,2.6138,2.6807,1.0256,0.3720,0.5861,0.3063,0.6456,0.8391,0.3556,13464,2582,161912,293438
ya_warmup5000000_sim200000000-602.gcc_s-1850B,0.6114,1.4334,2.3445,0.9447,0.9135,0.4376,0.8864,0.9606,0.9283,1774294,72834,1660458,128261
ya_warmup5000000_sim200000000-403.gcc-17B,0.7923,0.5181,0.6539,0.1464,0.0000,0.0290,0.3918,0.8240,0.1462,1283,274,1115631,6512963
ya_warmup5000000_sim200000000-410.bwaves-945B,3.0755,3.0759,1.0001,0.9943,0.4459,0.3447,0.4459,0.9888,1.0000,177,2,170,0
ya_warmup5000000_sim200000000-459.GemsFDTD-1491B,0.4053,0.8537,2.1066,0.9081,0.8716,0.7299,0.8424,0.8905,0.9232,1941223,238695,2335569,194263
ya_warmup5000000_sim200000000-433.milc-337B,0.7981,0.8639,1.0823,0.5631,0.4710,0.2866,0.4708,0.9942,0.0637,1158504,6783,64058,941663
ya_warmup5000000_sim200000000-482.sphinx3-1297B,1.1730,1.5716,1.3397,0.5793,0.7706,0.6345,0.7113,0.9822,0.4018,967982,17509,898434,1337696
ya_warmup5000000_sim200000000-456.hmmer-327B,3.4814,3.4931,1.0034,0.8499,0.5814,0.0512,0.4237,0.7701,0.8535,5059,1510,124424,21353
ya_warmup5000000_sim200000000-473.astar-153B,1.9182,1.8856,0.9830,0.1357,0.1035,0.1108,0.3729,0.2452,0.1302,12286,37821,128219,856814
ya_warmup5000000_sim200000000-450.soplex-92B,0.3744,0.4807,1.2839,0.4247,0.5703,0.1843,0.4640,0.9831,0.3671,610308,10502,2211594,3812361
ya_warmup5000000_sim200000000-458.sjeng-767B,1.4094,1.3929,0.9883,0.0301,0.0127,0.0407,0.0000,0.1411,0.0296,264,1607,13216,433306
ya_warmup5000000_sim200000000-400.perlbench-50B,2.4740,2.4804,1.0026,0.3467,0.7054,0.1341,0.6103,0.3489,0.3466,284,530,11059,20848
ya_warmup5000000_sim200000000-459.GemsFDTD-1169B,1.3252,1.1490,0.8671,0.1121,0.3706,0.0327,0.0000,0.2592,0.1067,42823,122415,477945,4000337
ya_warmup5000000_sim200000000-410.bwaves-1963B,0.6963,1.5891,2.2822,0.9999,0.7665,0.5402,0.7597,0.9999,1.0000,1375456,178,1378791,0
ya_warmup5000000_sim200000000-403.gcc-16B,2.3352,2.3520,1.0072,0.1536,0.5474,0.0630,0.3711,0.5173,0.1519,955,891,59894,334460
ya_warmup5000000_sim200000000-437.leslie3d-134B,1.3799,2.4340,1.7639,0.7002,0.8180,0.3455,0.6172,0.9432,0.6648,201373,12138,971542,489966
ya_warmup5000000_sim200000000-453.povray-576B,2.3620,2.3641,1.0009,0.3687,0.6003,0.0000,0.0000,0.4203,0.3378,3758,5183,5048,9895
ya_warmup5000000_sim200000000-445.gobmk-30B,1.1809,1.1851,1.0035,0.1260,0.1985,0.0097,0.0000,0.2054,0.1259,76,294,59935,415988
ya_warmup5000000_sim200000000-482.sphinx3-1522B,1.2186,1.9308,1.5845,0.6336,0.8515,0.6576,0.7906,0.9826,0.4974,839120,14853,1088528,1099834
ya_warmup5000000_sim200000000-483.xalancbmk-736B,2.3022,2.3238,1.0094,0.5197,0.2870,0.1795,0.0000,0.6668,0.2124,652229,325875,99454,368795
ya_warmup5000000_sim200000000-437.leslie3d-265B,1.7509,2.9113,1.6627,0.9817,0.8779,0.6474,0.8462,0.9827,0.9810,290486,5100,469442,9095
ya_warmup5000000_sim200000000-481.wrf-1254B,1.6566,2.8417,1.7154,0.9388,0.9224,0.7437,0.9093,0.9368,0.9443,779221,52608,286161,16879
ya_warmup5000000_sim200000000-481.wrf-816B,1.2933,2.0707,1.6011,0.9648,0.9268,0.8243,0.9224,0.9714,0.9323,1277224,37539,248402,18044
ya_warmup5000000_sim200000000-445.gobmk-36B,1.4913,1.4585,0.9780,0.1473,0.0000,0.0081,0.0000,0.2092,0.1473,59,223,128728,745185
ya_warmup5000000_sim200000000-600.perlbench_s-1273B,3.2936,3.3010,1.0023,0.3150,0.5307,0.1207,0.4375,0.2541,0.3163,108,317,6258,13528
ya_warmup5000000_sim200000000-462.libquantum-714B,1.0201,1.1276,1.1054,0.9991,0.8482,0.0974,0.8481,0.9992,0.9911,4489580,3818,557,5
ya_warmup5000000_sim200000000-445.gobmk-2B,1.6500,1.6210,0.9824,0.1974,0.0000,0.0000,0.0000,0.0952,0.1974,4,38,182856,743467
ya_warmup5000000_sim200000000-602.gcc_s-2226B,0.7774,0.8676,1.1160,0.7995,0.2625,0.0480,0.2119,0.9226,0.6020,2606544,218726,1060045,700836
ya_warmup5000000_sim200000000-481.wrf-196B,1.9196,3.6403,1.8964,0.9392,0.9131,0.7506,0.9042,0.9365,0.9461,667718,45286,259768,14796
ya_warmup5000000_sim200000000-481.wrf-1281B,1.4538,2.0967,1.4422,0.9532,0.9043,0.7567,0.8958,0.9563,0.9451,1025283,46876,392652,22804
ya_warmup5000000_sim200000000-429.mcf-51B,0.1238,0.1286,1.0391,0.1628,0.3356,0.0152,0.1700,0.2189,0.1628,1797,6414,3619343,18615527
ya_warmup5000000_sim200000000-437.leslie3d-232B,1.3662,2.5646,1.8771,0.9603,0.8807,0.7056,0.8406,0.9903,0.9108,819203,8016,457003,44776
ya_warmup5000000_sim200000000-482.sphinx3-1395B,1.3891,1.9790,1.4247,0.7085,0.8361,0.7201,0.8061,0.9824,0.4762,1235523,22158,706281,776842
ya_warmup5000000_sim200000000-444.namd-120B,3.4923,3.5560,1.0182,0.6909,0.9096,0.0162,0.8856,0.7480,0.6803,5586,1882,27350,12853
ya_warmup5000000_sim200000000-435.gromacs-134B,3.4641,3.5475,1.0241,0.7862,0.8371,0.0159,0.7222,0.9374,0.7845,899,60,67748,18609
ya_warmup5000000_sim200000000-473.astar-42B,0.6029,0.5610,0.9306,0.0450,0.0000,0.0235,0.0000,0.1387,0.0322,241552,1500072,409743,12307632
ya_warmup5000000_sim200000000-410.bwaves-2097B,0.6994,1.5703,2.2452,0.9999,0.7580,0.5400,0.7500,0.9999,1.0000,1386351,173,1335520,2
ya_warmup5000000_sim200000000-459.GemsFDTD-1320B,0.7353,1.1075,1.5061,0.5481,0.8207,0.5908,0.6911,0.9088,0.3919,1059722,106310,1054525,1636509
ya_warmup5000000_sim200000000-471.omnetpp-188B,0.4874,0.4056,0.8321,0.2553,0.4109,0.0794,0.3178,0.3486,0.2552,1617,3022,2103671,6138739
ya_warmup5000000_sim200000000-444.namd-321B,3.5285,3.5832,1.0155,0.6459,0.9174,0.0283,0.8643,0.6572,0.6428,6943,3621,24693,13721
ya_warmup5000000_sim200000000-459.GemsFDTD-765B,0.7850,0.8902,1.1340,0.3445,0.4158,0.2868,0.3471,0.9377,0.2377,407372,27048,573122,1838352
ya_warmup5000000_sim200000000-437.leslie3d-149B,1.2121,2.2655,1.8690,0.8407,0.8397,0.5820,0.7326,0.9863,0.7703,409276,5693,661292,197196
ya_warmup5000000_sim200000000-435.gromacs-228B,3.5570,3.7760,1.0616,0.9089,0.8266,0.1178,0.8133,0.9887,0.8318,83654,955,72920,14744
ya_warmup5000000_sim200000000-459.GemsFDTD-1211B,0.9678,1.3076,1.3512,0.4814,0.5625,0.3097,0.4999,0.9130,0.3796,374270,35668,659112,1077354
ya_warmup5000000_sim200000000-429.mcf-184B,0.1022,0.1230,1.2028,0.2533,0.4557,0.0051,0.2509,0.6978,0.2533,97,42,6657982,19622604
ya_warmup5000000_sim200000000-436.cactusADM-1804B,1.4349,1.7441,1.2155,0.9865,0.6466,0.2064,0.6427,0.9790,0.9873,45706,980,430849,5533
ya_warmup5000000_sim200000000-444.namd-166B,3.5428,3.5948,1.0147,0.6944,0.8998,0.0203,0.8504,0.6446,0.7099,6782,3740,24058,9832
ya_warmup5000000_sim200000000-482.sphinx3-234B,1.1337,1.8104,1.5970,0.5926,0.8434,0.5697,0.7664,0.9811,0.5231,487362,9369,1452869,1324697
ya_warmup5000000_sim200000000-600.perlbench_s-210B,3.2453,3.2482,1.0009,0.2468,0.4651,0.0062,0.3469,0.1628,0.2481,42,216,4085,12381
ya_warmup5000000_sim200000000-465.tonto-44B,2.7060,2.7085,1.0009,0.7464,0.5553,0.1950,0.0000,0.9696,0.2461,81995,2570,9282,28439
ya_warmup5000000_sim200000000-473.astar-359B,0.1563,0.1668,1.0669,0.1181,0.3695,0.0353,0.2180,0.4092,0.1134,67550,97516,1156015,9035349
ya_warmup5000000_sim200000000-483.xalancbmk-716B,1.7307,1.6384,0.9467,0.1892,0.0000,0.0000,0.0676,0.2033,0.1873,23031,90268,160701,697313
ya_warmup5000000_sim200000000-401.bzip2-226B,1.8201,1.9607,1.0773,0.2120,0.6941,0.1785,0.0876,0.7959,0.2096,6532,1675,413225,1558613
ya_warmup5000000_sim200000000-470.lbm-1274B,0.3641,0.3309,0.9088,0.9980,0.7967,0.6301,0.7966,1.0000,0.1503,1132146,0,408,2307
ya_warmup5000000_sim200000000-454.calculix-460B,3.4473,3.7216,1.0796,0.9549,0.9088,0.6240,0.9017,0.9880,0.8675,1184383,14443,392711,59995
ya_warmup5000000_sim200000000-437.leslie3d-271B,1.3476,2.5708,1.9077,0.9865,0.8790,0.7554,0.8606,0.9883,0.9837,545540,6441,350352,5813
ya_warmup5000000_sim200000000-435.gromacs-111B,2.6985,2.7119,1.0050,0.7412,0.7840,0.0071,0.2898,0.1576,0.7429,32,171,51270,17740
ya_warmup5000000_sim200000000-429.mcf-217B,0.6157,0.7435,1.2075,0.6443,0.1605,0.0238,0.1449,0.9221,0.6002,319028,26935,1305617,869843
ya_warmup5000000_sim200000000-429.mcf-22B,0.4747,0.4896,1.0313,0.4265,0.2934,0.0161,0.2714,0.9133,0.4033,155629,14781,1443024,2135236
ya_warmup5000000_sim200000000-453.povray-800B,2.5051,2.5038,0.9995,0.3444,0.6147,0.0000,0.0295,0.3533,0.2957,4875,8922,746,1777
ya_warmup5000000_sim200000000-465.tonto-1914B,2.6181,2.6277,1.0037,0.3217,0.6933,0.0429,0.0000,0.8772,0.1998,19138,2679,19867,79546
ya_warmup5000000_sim200000000-453.povray-887B,2.4982,2.5002,1.0008,0.4965,0.5060,0.0000,0.1101,0.4935,0.5086,9451,9701,2396,2315
ya_warmup5000000_sim200000000-401.bzip2-38B,1.9873,2.1394,1.0765,0.4549,0.8721,0.3359,0.5432,0.9801,0.4174,63276,1284,377014,526209
