workload,ipc_no,ipc_pmp,pmp_Speedup,pmp_Overall_Accuracy,pmp_LLC_Coverage,pmp_L1D_Coverage,pmp_L2C_Coverage,pmp_L1D_Accuracy,pmp_L2C_Accuracy,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless
482.sphinx3-417B,1.0119,1.3005,1.2852,0.5848,0.6335,0.5536,0.5753,0.8962,0.3366,1151788,133391,542899,1069772
456.hmmer-191B,3.4815,3.4936,1.0035,0.7378,0.5107,0.0781,0.3821,0.7890,0.2912,134640,35998,5704,13882
458.sjeng-283B,1.4432,1.4291,0.9902,0.0436,0.0036,0.0000,0.0000,0.0835,0.0274,9815,107710,7959,282516
444.namd-33B,3.5352,3.5983,1.0178,0.5058,0.8901,0.0000,0.8342,0.5031,0.5672,212647,210033,10609,8095
444.namd-426B,3.5566,3.6144,1.0162,0.5289,0.8776,0.0000,0.8056,0.5303,0.4943,300307,265975,11296,11556
462.libquantum-1343B,0.7570,1.5464,2.0429,0.9985,0.9185,0.3669,0.9185,0.9985,0.0000,4417957,6674,0,0
464.h264ref-97B,2.6138,2.6814,1.0259,0.5440,0.5235,0.5175,0.6543,0.6807,0.3447,159545,74830,55418,105344
602.gcc_s-1850B,0.6114,1.4852,2.4293,0.8453,0.9041,0.7919,0.9036,0.8496,0.4129,3988863,706339,19164,27246
403.gcc-17B,0.7923,0.5788,0.7306,0.1825,0.0000,0.0234,0.2851,0.2987,0.1796,32604,76541,759709,3471427
410.bwaves-945B,3.0755,3.0759,1.0002,0.9792,0.4459,0.4655,0.4459,0.9784,1.0000,317,7,12,0
459.GemsFDTD-1491B,0.4053,0.7216,1.7805,0.9089,0.7695,0.7212,0.7708,0.9102,0.0952,3778233,372872,637,6055
433.milc-337B,0.7981,0.9099,1.1400,0.9789,0.4609,0.3247,0.4608,0.9808,0.7590,1182689,23115,8105,2573
482.sphinx3-1297B,1.1730,1.5851,1.3513,0.6934,0.7131,0.6733,0.6682,0.9177,0.3340,1453805,130370,330261,658552
456.hmmer-327B,3.4814,3.4935,1.0035,0.7396,0.5608,0.0947,0.3870,0.7827,0.3408,138429,38433,6520,12609
473.astar-153B,1.9182,1.8626,0.9710,0.1142,0.0000,0.0716,0.3174,0.1248,0.1045,69972,490854,64186,550130
450.soplex-92B,0.3744,0.4819,1.2870,0.4897,0.5087,0.2599,0.4318,0.7399,0.3482,1376881,484042,1145676,2144769
458.sjeng-767B,1.4094,1.3970,0.9912,0.0408,0.0040,0.0000,0.0000,0.0733,0.0245,8361,105705,5566,222020
400.perlbench-50B,2.4740,2.4752,1.0005,0.3185,0.4310,0.0985,0.3821,0.3147,0.3260,7823,17034,4029,8330
459.GemsFDTD-1169B,1.3252,1.1525,0.8697,0.1408,0.2639,0.0785,0.0000,0.2076,0.0799,482242,1840331,203601,2345548
410.bwaves-1963B,0.6963,1.4384,2.0658,0.9796,0.7278,0.6357,0.7278,0.9796,1.0000,2667196,55602,504,0
403.gcc-16B,2.3352,2.3469,1.0050,0.2040,0.3643,0.1212,0.3095,0.3431,0.1675,18524,35464,34383,170938
437.leslie3d-134B,1.3799,2.3781,1.7233,0.7279,0.7975,0.4728,0.5836,0.8381,0.5381,866825,167436,323228,277486
453.povray-576B,2.3620,2.3538,0.9965,0.2999,0.5793,0.0000,0.0505,0.2993,0.3583,179863,421137,2497,4472
445.gobmk-30B,1.1809,1.1840,1.0026,0.1299,0.1774,0.0000,0.0000,0.1953,0.1017,29076,119792,35242,311203
482.sphinx3-1522B,1.2186,1.9142,1.5708,0.6896,0.7998,0.6885,0.7644,0.8870,0.4323,1346703,171564,503682,661487
483.xalancbmk-736B,2.3022,2.3390,1.0160,0.6939,0.2262,0.6934,0.0857,0.7090,0.2108,2501148,1026638,23278,87135
437.leslie3d-265B,1.7509,2.8303,1.6165,0.9237,0.8362,0.6820,0.8291,0.9139,0.9653,651701,61388,161902,5818
481.wrf-1254B,1.6566,2.7771,1.6763,0.9367,0.9210,0.8092,0.9168,0.9383,0.7551,1257026,82611,9046,2934
481.wrf-816B,1.2933,1.9868,1.5363,0.9550,0.9148,0.8339,0.9140,0.9574,0.7476,1549033,69005,13609,4594
445.gobmk-36B,1.4913,1.4571,0.9771,0.1365,0.0000,0.0000,0.0000,0.1935,0.1214,33436,139346,78819,570581
600.perlbench_s-1273B,3.2936,3.2973,1.0011,0.2687,0.3604,0.1228,0.3108,0.2499,0.2870,2137,6413,2512,6242
462.libquantum-714B,1.0201,1.0625,1.0416,0.9986,0.8436,0.0609,0.8436,0.9986,0.0000,4465784,6179,0,0
445.gobmk-2B,1.6500,1.6243,0.9844,0.1781,0.0000,0.0000,0.0000,0.1951,0.1730,33381,137745,98966,472962
602.gcc_s-2226B,0.7774,0.8593,1.1054,0.8005,0.2386,0.0552,0.2317,0.8258,0.5300,3144796,663307,188628,167289
481.wrf-196B,1.9196,3.6238,1.8878,0.9297,0.9110,0.8472,0.9098,0.9312,0.7989,1179419,87103,12182,3067
481.wrf-1281B,1.4538,2.0201,1.3895,0.9345,0.8905,0.8214,0.8880,0.9374,0.7031,1578799,105515,14864,6276
429.mcf-51B,0.1238,0.1323,1.0686,0.1676,0.2036,0.0055,0.1174,0.1151,0.2333,852812,6556410,1382605,4543914
437.leslie3d-232B,1.3662,2.4526,1.7952,0.9433,0.8496,0.7294,0.8274,0.9572,0.8154,1176094,52639,108939,24662
482.sphinx3-1395B,1.3891,2.0105,1.4473,0.7915,0.8051,0.7662,0.7857,0.9339,0.3459,1715005,121317,202965,383873
444.namd-120B,3.4923,3.5606,1.0196,0.4970,0.8969,0.0000,0.8761,0.4911,0.6328,219157,227088,12297,7136
435.gromacs-134B,3.4641,3.5383,1.0214,0.3436,0.6243,0.0141,0.5266,0.2366,0.7115,41610,134249,36389,14754
473.astar-42B,0.6029,0.6078,1.0082,0.0765,0.1758,0.0468,0.0000,0.0958,0.0498,493138,4653812,184631,3526124
410.bwaves-2097B,0.6994,1.4244,2.0366,0.9827,0.7153,0.6267,0.7153,0.9827,1.0000,2630480,46397,277,0
459.GemsFDTD-1320B,0.7353,1.0077,1.3703,0.5142,0.7187,0.6058,0.6318,0.6557,0.0538,2069321,1086696,52178,917438
471.omnetpp-188B,0.4874,0.4149,0.8512,0.2050,0.1773,0.0643,0.1860,0.2324,0.2002,204627,675940,1006489,4020963
444.namd-321B,3.5285,3.5857,1.0162,0.4856,0.9014,0.0000,0.8463,0.4797,0.5960,177216,192177,11754,7969
459.GemsFDTD-765B,0.7850,0.9100,1.1592,0.4421,0.3867,0.3134,0.3462,0.7837,0.2469,598198,165116,329760,1006066
437.leslie3d-149B,1.2121,2.2097,1.8230,0.8625,0.8160,0.6631,0.7288,0.9217,0.6912,832198,70653,215814,96397
435.gromacs-228B,3.5570,3.7639,1.0582,0.5701,0.7003,0.1261,0.7418,0.5455,0.7608,149892,124879,26982,8485
459.GemsFDTD-1211B,0.9678,1.2195,1.2602,0.5115,0.5013,0.3639,0.4576,0.8332,0.2893,642096,128517,322724,792980
429.mcf-184B,0.1022,0.1170,1.1442,0.1745,0.2408,0.0024,0.1055,0.0710,0.2254,455425,5960547,2935222,10084266
436.cactusADM-1804B,1.4349,1.7523,1.2213,0.7655,0.6690,0.4020,0.6676,0.7172,0.9801,459291,181117,141276,2871
444.namd-166B,3.5428,3.5987,1.0158,0.4904,0.8950,0.0000,0.8494,0.4849,0.6185,169605,180198,9389,5792
482.sphinx3-234B,1.1337,1.7765,1.5671,0.6517,0.7642,0.5982,0.7267,0.8162,0.5047,1050658,236599,727320,713707
600.perlbench_s-210B,3.2453,3.2476,1.0007,0.2744,0.3559,0.0000,0.2894,0.2932,0.2453,3672,8852,1976,6081
465.tonto-44B,2.7060,2.7074,1.0005,0.8125,0.5269,0.7202,0.0000,0.8486,0.1609,368460,65717,3872,20193
473.astar-359B,0.1563,0.1701,1.0885,0.1060,0.3442,0.0559,0.2644,0.1255,0.0667,676156,4713529,177557,2484790
483.xalancbmk-716B,1.7307,1.6844,0.9732,0.3629,0.0090,0.1072,0.0606,0.4170,0.1894,409775,572936,58033,248335
401.bzip2-226B,1.8201,1.9270,1.0587,0.2544,0.5107,0.1499,0.0787,0.4685,0.2268,59322,67293,222186,757591
470.lbm-1274B,0.3641,0.3312,0.9096,0.8844,0.7763,0.6036,0.7763,0.8844,0.0000,1103614,144254,0,0
454.calculix-460B,3.4473,3.7249,1.0805,0.9084,0.9020,0.8688,0.9036,0.9099,0.7881,2215942,219524,23637,6355
437.leslie3d-271B,1.3476,2.4831,1.8426,0.9545,0.8548,0.7805,0.8512,0.9522,0.9714,815909,40984,115180,3391
435.gromacs-111B,2.6985,2.7100,1.0043,0.3391,0.6927,0.0031,0.0000,0.2079,0.5987,22162,84421,32228,21603
429.mcf-217B,0.6157,0.7399,1.2017,0.6604,0.1526,0.0970,0.1494,0.7581,0.4772,1142301,364513,383192,419879
429.mcf-22B,0.4747,0.4941,1.0409,0.5007,0.2466,0.0574,0.2397,0.6607,0.4112,633092,325052,704534,1008774
453.povray-800B,2.5051,2.4896,0.9938,0.2976,0.5631,0.0000,0.1945,0.2976,0.2966,248821,587357,291,690
465.tonto-1914B,2.6181,2.6249,1.0026,0.6923,0.6497,0.7179,0.0000,0.7702,0.1392,375488,112036,9558,59122
453.povray-887B,2.4982,2.4883,0.9961,0.3201,0.4597,0.0000,0.3094,0.3196,0.4860,239168,509223,1149,1215
401.bzip2-38B,1.9873,2.1159,1.0647,0.5117,0.7656,0.3375,0.4523,0.7245,0.4538,105757,40208,243198,292762
459.GemsFDTD-1418B,1.1663,2.0574,1.7640,0.8947,0.8307,0.7715,0.8292,0.8932,0.9058,1022839,122252,133328,13862
483.xalancbmk-127B,0.5496,0.5806,1.0564,0.2529,0.3820,0.1149,0.3419,0.3300,0.2376,478423,971139,1731412,5555557
481.wrf-1170B,2.9857,3.0296,1.0147,0.3662,0.4423,0.0000,0.4401,0.2399,0.9325,29373,93067,25466,1842
464.h264ref-64B,2.7362,2.7796,1.0159,0.5574,0.5352,0.5309,0.6547,0.6879,0.3744,144236,65454,55962,93515
445.gobmk-17B,1.7933,1.7961,1.0015,0.2801,0.4471,0.0000,0.0000,0.3350,0.1900,21485,42651,7410,31598
464.h264ref-30B,2.6722,2.7226,1.0189,0.5412,0.4235,0.4878,0.6438,0.6640,0.3798,123779,62630,53823,87905
433.milc-274B,0.9371,1.0947,1.1682,0.9609,0.5781,0.6043,0.5764,0.9780,0.4695,1250446,28066,20963,23685
403.gcc-48B,3.4352,3.5348,1.0290,0.3938,0.6466,0.0000,0.6107,0.4216,0.2353,148017,203073,14458,46990
444.namd-44B,3.6628,3.6854,1.0062,0.6081,0.7935,0.0975,0.7615,0.6082,0.5961,599400,386132,3920,2656
600.perlbench_s-570B,2.0962,2.0733,0.9891,0.1807,0.2426,0.0072,0.0000,0.2180,0.1676,37362,134015,82057,407479
456.hmmer-88B,3.4629,3.4865,1.0068,0.7469,0.5330,0.0994,0.4292,0.7837,0.3826,134002,36977,6617,10680
435.gromacs-226B,2.3630,2.4941,1.0555,0.5771,0.8270,0.1586,0.6281,0.6873,0.3782,173584,78982,52936,87022
458.sjeng-31B,1.4039,1.3927,0.9921,0.0520,0.0061,0.0000,0.0000,0.1020,0.0259,14070,123846,6871,258211
437.leslie3d-273B,1.3156,2.4536,1.8650,0.9619,0.8673,0.7584,0.8603,0.9619,0.9618,922734,36508,106006,4209
400.perlbench-41B,2.1257,2.1094,0.9923,0.1750,0.3612,0.0154,0.0000,0.2065,0.1647,23521,90398,57621,292197
464.h264ref-57B,2.6180,2.6957,1.0297,0.5292,0.5130,0.5008,0.6351,0.6717,0.3585,140947,68880,62843,112434
429.mcf-192B,0.0912,0.1059,1.1608,0.0860,0.1894,0.0011,0.0000,0.0613,0.0864,15185,232420,1183377,12505745
