workload,ipc_no,ipc_adaptive,speedup_adaptive,accuracy_overall_adaptive,coverage_llc_adaptive,accuracy_l1d_adaptive,accuracy_l2c_adaptive,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless,ipc_default,speedup_default,accuracy_overall_default,coverage_llc_default,accuracy_l1d_default,accuracy_l2c_default
ya_warmup5000000_sim20000000-482.sphinx3-417B,1.1043,1.3979,1.2659,0.4752,0.7291,0.9817,0.3430,75592,1406,101185,193797,1.4262,1.2915,0.6008,0.6615,0.9061,0.3096
ya_warmup5000000_sim20000000-456.hmmer-191B,3.4598,3.5102,1.0146,0.9746,0.8444,0.9052,0.9854,1652,173,11489,170,3.5101,1.0145,0.8092,0.8152,0.8094,0.7970
ya_warmup5000000_sim20000000-458.sjeng-283B,1.4932,1.4901,0.9980,0.0394,0.0590,0.0522,0.0393,21,381,1364,33356,1.4909,0.9985,0.0480,0.0521,0.0860,0.0321
ya_warmup5000000_sim20000000-444.namd-33B,3.5282,3.6172,1.0252,0.8528,0.9150,0.7019,0.9493,1135,482,2398,128,3.6200,1.0260,0.5093,0.9068,0.4961,0.9148
ya_warmup5000000_sim20000000-444.namd-426B,3.4946,3.6158,1.0347,0.6760,0.8839,0.6775,0.6755,1105,526,3610,1734,3.6168,1.0350,0.5463,0.8648,0.5424,0.6200
ya_warmup5000000_sim20000000-462.libquantum-1343B,1.2723,2.2257,1.7493,1.0000,0.9030,1.0000,1.0000,408692,8,691,0,2.2250,1.7488,0.9985,0.9031,0.9985,0.0000
ya_warmup5000000_sim20000000-464.h264ref-97B,2.5681,2.7528,1.0719,0.4073,0.7997,0.8369,0.3847,3546,691,31070,49686,2.7453,1.0690,0.5316,0.7341,0.6532,0.3742
ya_warmup5000000_sim20000000-602.gcc_s-1850B,0.6124,1.4416,2.3538,0.9490,0.9132,0.9594,0.9367,188531,7973,156076,10553,1.4941,2.4397,0.8478,0.9050,0.8519,0.4228
ya_warmup5000000_sim20000000-403.gcc-17B,0.7583,0.9874,1.3021,0.2703,0.7480,0.5714,0.2701,160,120,158698,428753,0.9590,1.2646,0.3170,0.6382,0.3230,0.3165
ya_warmup5000000_sim20000000-410.bwaves-945B,3.0906,3.0906,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,3.0906,1.0000,0.0000,0.0000,0.0000,0.0000
ya_warmup5000000_sim20000000-459.GemsFDTD-1491B,0.4059,0.8308,2.0467,0.9071,0.8530,0.8892,0.9237,197959,24676,220755,18226,0.7228,1.7807,0.9089,0.7697,0.9102,0.1023
ya_warmup5000000_sim20000000-433.milc-337B,0.7744,0.8674,1.1201,0.7605,0.5992,0.9960,0.5768,82344,332,61113,44836,0.8681,1.1210,0.9741,0.5892,0.9780,0.4617
ya_warmup5000000_sim20000000-482.sphinx3-1297B,1.3001,1.7960,1.3815,0.6423,0.8081,0.9824,0.4285,110478,1979,76655,102248,1.8308,1.4082,0.7448,0.7721,0.9301,0.3136
ya_warmup5000000_sim20000000-456.hmmer-327B,3.3635,3.3952,1.0094,0.8041,0.5466,0.8533,0.7996,1280,220,13052,3272,3.3982,1.0103,0.7199,0.5281,0.7651,0.3622
ya_warmup5000000_sim20000000-473.astar-153B,1.9385,1.7760,0.9161,0.1767,0.0000,0.6512,0.1707,1191,638,24970,121289,1.7042,0.8791,0.1631,0.0000,0.2262,0.1387
ya_warmup5000000_sim20000000-450.soplex-92B,0.3745,0.5002,1.3357,0.4471,0.5856,0.9764,0.3911,60693,1464,229534,357396,0.4933,1.3172,0.4939,0.5347,0.7235,0.3622
ya_warmup5000000_sim20000000-458.sjeng-767B,1.3730,1.3649,0.9941,0.0320,0.0423,0.1338,0.0310,59,382,1490,46514,1.3663,0.9951,0.0389,0.0297,0.0634,0.0257
ya_warmup5000000_sim20000000-400.perlbench-50B,2.5810,2.5789,0.9992,0.8252,0.6434,0.4235,0.9978,83,113,455,1,2.5786,0.9991,0.3937,0.4277,0.3224,1.0000
ya_warmup5000000_sim20000000-459.GemsFDTD-1169B,0.9501,0.8068,0.8491,0.1287,0.2904,0.7727,0.0868,26610,7826,45929,483047,0.8374,0.8813,0.1791,0.2806,0.3008,0.0921
ya_warmup5000000_sim20000000-410.bwaves-1963B,0.6959,1.5621,2.2447,0.9999,0.7506,0.9998,1.0000,138557,21,131097,0,1.4387,2.0675,0.9797,0.7285,0.9797,1.0000
ya_warmup5000000_sim20000000-403.gcc-16B,2.3329,2.3495,1.0071,0.1346,0.5938,0.4217,0.1293,296,406,4859,32731,2.3455,1.0054,0.1765,0.4245,0.3036,0.1409
ya_warmup5000000_sim20000000-437.leslie3d-134B,2.2468,3.4446,1.5331,0.5870,0.8353,0.8652,0.5476,15833,2466,70653,58376,3.4176,1.5211,0.6239,0.8172,0.7533,0.4325
ya_warmup5000000_sim20000000-453.povray-576B,2.5961,2.6213,1.0097,0.4121,0.5714,0.2852,0.4542,466,1168,2233,2683,2.6119,1.0061,0.3054,0.5926,0.2926,0.5266
ya_warmup5000000_sim20000000-445.gobmk-30B,1.4371,1.4399,1.0019,0.1493,0.1786,0.1390,0.1493,31,192,9077,51714,1.4357,0.9991,0.1432,0.1556,0.2147,0.1136
ya_warmup5000000_sim20000000-482.sphinx3-1522B,1.2786,1.9427,1.5194,0.6264,0.8441,0.9814,0.4744,87774,1664,99069,109774,1.9412,1.5182,0.6840,0.8027,0.8979,0.3998
ya_warmup5000000_sim20000000-483.xalancbmk-736B,2.5667,2.5722,1.0022,0.3392,0.0000,0.5082,0.2326,23250,22499,16866,55646,2.5846,1.0070,0.6751,0.0000,0.6926,0.3381
ya_warmup5000000_sim20000000-437.leslie3d-265B,2.0989,3.0252,1.4413,0.9794,0.8478,0.9376,0.9861,10931,728,71093,999,2.9132,1.3879,0.8995,0.7950,0.8750,0.9711
ya_warmup5000000_sim20000000-481.wrf-1254B,1.5563,2.5721,1.6527,0.9399,0.9315,0.9350,0.9512,82267,5716,36319,1865,2.4906,1.6003,0.9382,0.9270,0.9390,0.8526
ya_warmup5000000_sim20000000-481.wrf-816B,1.4544,3.3475,2.3017,0.9720,0.9643,0.9743,0.9253,242210,6379,11471,926,3.3471,2.3014,0.9727,0.9640,0.9750,0.2248
ya_warmup5000000_sim20000000-445.gobmk-36B,1.4600,1.4579,0.9986,0.1778,0.3609,0.2678,0.1776,64,175,17333,80280,1.4561,0.9973,0.1644,0.3034,0.2210,0.1515
ya_warmup5000000_sim20000000-600.perlbench_s-1273B,3.2901,3.2924,1.0007,0.7042,0.5009,0.2000,0.9619,51,204,480,19,3.2898,0.9999,0.3510,0.3658,0.2264,0.9860
ya_warmup5000000_sim20000000-462.libquantum-714B,0.6098,0.5579,0.9148,0.9998,0.7212,0.9998,0.9982,464708,74,556,1,0.5507,0.9030,0.9975,0.7200,0.9975,0.0000
ya_warmup5000000_sim20000000-445.gobmk-2B,1.6305,1.6254,0.9969,0.2051,0.3874,0.1356,0.2051,8,51,22775,88274,1.6277,0.9983,0.1869,0.3035,0.1935,0.1852
ya_warmup5000000_sim20000000-602.gcc_s-2226B,0.7559,0.8155,1.0790,0.7830,0.2600,0.9161,0.5798,256755,23502,106435,77141,0.8260,1.0927,0.8023,0.2456,0.8371,0.5004
ya_warmup5000000_sim20000000-481.wrf-196B,2.3471,3.6360,1.5492,0.9459,0.9199,0.9466,0.9440,51504,2906,20151,1195,3.6292,1.5463,0.9240,0.9208,0.9259,0.7949
