workload,ipc_no,ipc_pmp,pmp_Speedup,pmp_Overall_Accuracy,pmp_LLC_Coverage,pmp_L1D_Accuracy,pmp_L2C_Accuracy,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless
ya_warmup5000000_sim20000000-482.sphinx3-417B,1.1043,1.4262,1.2915,0.6008,0.6615,0.9061,0.3096,123062,12757,44084,98291
ya_warmup5000000_sim20000000-456.hmmer-191B,3.4598,3.5101,1.0145,0.8092,0.8152,0.8094,0.7970,14073,3314,212,54
ya_warmup5000000_sim20000000-458.sjeng-283B,1.4932,1.4909,0.9985,0.0480,0.0521,0.0860,0.0321,791,8402,706,21311
ya_warmup5000000_sim20000000-444.namd-33B,3.5282,3.6200,1.0260,0.5093,0.9068,0.4961,0.9148,13937,14155,838,78
ya_warmup5000000_sim20000000-444.namd-426B,3.4946,3.6168,1.0350,0.5463,0.8648,0.5424,0.6200,29522,24904,1764,1081
ya_warmup5000000_sim20000000-462.libquantum-1343B,1.2723,2.2250,1.7488,0.9985,0.9031,0.9985,0.0000,409415,596,0,0
ya_warmup5000000_sim20000000-464.h264ref-97B,2.5681,2.7453,1.0690,0.5316,0.7341,0.6532,0.3742,22887,12152,10124,16933
ya_warmup5000000_sim20000000-602.gcc_s-1850B,0.6124,1.4941,2.4397,0.8478,0.9050,0.8519,0.4228,398488,69296,1882,2569
ya_warmup5000000_sim20000000-403.gcc-17B,0.7583,0.9590,1.2646,0.3170,0.6382,0.3230,0.3165,11980,25108,123865,267551
ya_warmup5000000_sim20000000-410.bwaves-945B,3.0906,3.0906,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0
ya_warmup5000000_sim20000000-459.GemsFDTD-1491B,0.4059,0.7228,1.7807,0.9089,0.7697,0.9102,0.1023,378050,37290,71,623
ya_warmup5000000_sim20000000-433.milc-337B,0.7744,0.8681,1.1210,0.9741,0.5892,0.9780,0.4617,139957,3147,506,590
ya_warmup5000000_sim20000000-482.sphinx3-1297B,1.3001,1.8308,1.4082,0.7448,0.7721,0.9301,0.3136,161578,12147,23401,51231
ya_warmup5000000_sim20000000-456.hmmer-327B,3.3635,3.3982,1.0103,0.7199,0.5281,0.7651,0.3622,15191,4665,908,1599
ya_warmup5000000_sim20000000-473.astar-153B,1.9385,1.7042,0.8791,0.1631,0.0000,0.2262,0.1387,7434,25434,11764,73042
ya_warmup5000000_sim20000000-450.soplex-92B,0.3745,0.4933,1.3172,0.4939,0.5347,0.7235,0.3622,143132,54712,124870,219856
ya_warmup5000000_sim20000000-458.sjeng-767B,1.3730,1.3663,0.9951,0.0389,0.0297,0.0634,0.0257,825,12180,625,23678
ya_warmup5000000_sim20000000-400.perlbench-50B,2.5810,2.5786,0.9991,0.3937,0.4277,0.3224,1.0000,395,830,144,0
ya_warmup5000000_sim20000000-459.GemsFDTD-1169B,0.9501,0.8374,0.8813,0.1791,0.2806,0.3008,0.0921,70331,163497,30096,296790
ya_warmup5000000_sim20000000-410.bwaves-1963B,0.6959,1.4387,2.0675,0.9797,0.7285,0.9797,1.0000,266392,5530,38,0
ya_warmup5000000_sim20000000-403.gcc-16B,2.3329,2.3455,1.0054,0.1765,0.4245,0.3036,0.1409,1723,3953,2853,17402
ya_warmup5000000_sim20000000-437.leslie3d-134B,2.2468,3.4176,1.5211,0.6239,0.8172,0.7533,0.4325,69601,22793,27014,35442
ya_warmup5000000_sim20000000-453.povray-576B,2.5961,2.6119,1.0061,0.3054,0.5926,0.2926,0.5266,13453,32527,1407,1265
ya_warmup5000000_sim20000000-445.gobmk-30B,1.4371,1.4357,0.9991,0.1432,0.1556,0.2147,0.1136,4015,14685,5136,40079
ya_warmup5000000_sim20000000-482.sphinx3-1522B,1.2786,1.9412,1.5182,0.6840,0.8027,0.8979,0.3998,136263,15501,45640,68517
ya_warmup5000000_sim20000000-483.xalancbmk-736B,2.5667,2.5846,1.0070,0.6751,0.0000,0.6926,0.3381,218885,97130,5547,10859
ya_warmup5000000_sim20000000-437.leslie3d-265B,2.0989,2.9132,1.3879,0.8995,0.7950,0.8750,0.9711,65838,9407,24965,743
ya_warmup5000000_sim20000000-481.wrf-1254B,1.5563,2.4906,1.6003,0.9382,0.9270,0.9390,0.8526,149946,9733,1296,224
ya_warmup5000000_sim20000000-481.wrf-816B,1.4544,3.3471,2.3014,0.9727,0.9640,0.9750,0.2248,258113,6614,181,624
ya_warmup5000000_sim20000000-445.gobmk-36B,1.4600,1.4561,0.9973,0.1644,0.3034,0.2210,0.1515,3431,12094,10295,57664
ya_warmup5000000_sim20000000-600.perlbench_s-1273B,3.2901,3.2898,0.9999,0.3510,0.3658,0.2264,0.9860,247,844,211,3
ya_warmup5000000_sim20000000-462.libquantum-714B,0.6098,0.5507,0.9030,0.9975,0.7200,0.9975,0.0000,464529,1148,0,0
ya_warmup5000000_sim20000000-445.gobmk-2B,1.6305,1.6277,0.9983,0.1869,0.3035,0.1935,0.1852,3240,13504,12254,53914
ya_warmup5000000_sim20000000-602.gcc_s-2226B,0.7559,0.8260,1.0927,0.8023,0.2456,0.8371,0.5004,320744,62424,22095,22060
ya_warmup5000000_sim20000000-481.wrf-196B,2.3471,3.6292,1.5463,0.9240,0.9208,0.9259,0.7949,74620,5975,942,243
ya_warmup5000000_sim20000000-481.wrf-1281B,1.0773,1.3449,1.2484,0.9428,0.9016,0.9444,0.7380,175256,10310,1073,381
ya_warmup5000000_sim20000000-429.mcf-51B,0.1183,0.1248,1.0549,0.1698,0.1804,0.1194,0.2459,89277,658229,121550,372720
ya_warmup5000000_sim20000000-437.leslie3d-232B,1.6695,2.6665,1.5972,0.9337,0.8031,0.9263,0.9685,97955,7790,21736,706
