workload,pmp_Speedup,pmp_Overall_Accuracy,pmp_LLC_Coverage,pmp_L1D_Accuracy,pmp_L2C_Accuracy,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless
ya_warmup5000000_sim5000000-482.sphinx3-417B,1.2968,0.5038,0.7739,0.9609,0.2753,25731,1047,14749,38819
ya_warmup5000000_sim5000000-456.hmmer-191B,1.0133,0.9292,0.8500,0.9357,0.7414,3130,215,86,30
ya_warmup5000000_sim5000000-458.sjeng-283B,0.9965,0.0373,0.0596,0.0762,0.0313,126,1527,335,10356
ya_warmup5000000_sim5000000-444.namd-33B,1.0401,0.7639,0.9125,0.6475,0.9987,1016,553,776,1
ya_warmup5000000_sim5000000-444.namd-426B,1.0508,0.6619,0.8633,0.6498,0.6872,1707,920,859,391
ya_warmup5000000_sim5000000-462.libquantum-1343B,1.7075,1.0000,0.8979,1.0000,0.0000,101510,0,0,0
ya_warmup5000000_sim5000000-464.h264ref-97B,0.9985,0.4707,0.5582,0.8482,0.0931,2241,401,246,2396
ya_warmup5000000_sim5000000-602.gcc_s-1850B,2.4333,0.8900,0.9087,0.9052,0.5017,93232,9766,2020,2006
ya_warmup5000000_sim5000000-403.gcc-17B,1.4292,0.3510,0.8732,0.5661,0.3382,3005,2303,30220,59125
ya_warmup5000000_sim5000000-410.bwaves-945B,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0
ya_warmup5000000_sim5000000-459.GemsFDTD-1491B,1.8085,0.9009,0.7797,0.9099,0.7351,91743,9082,4029,1452
ya_warmup5000000_sim5000000-433.milc-337B,1.1072,0.7544,0.5911,0.9922,0.0930,34227,268,1154,11252
ya_warmup5000000_sim5000000-482.sphinx3-1297B,1.3682,0.6335,0.8405,0.9662,0.3079,32567,1138,10605,23834
ya_warmup5000000_sim5000000-456.hmmer-327B,1.0132,0.9411,0.9016,0.9426,0.8594,3251,198,55,9
ya_warmup5000000_sim5000000-473.astar-153B,0.9657,0.1413,0.0477,0.2757,0.1203,1797,4720,5005,36613
ya_warmup5000000_sim5000000-450.soplex-92B,1.4537,0.3977,0.6888,0.6799,0.3296,24072,11333,48328,98292
ya_warmup5000000_sim5000000-458.sjeng-767B,0.9959,0.0291,0.0615,0.0888,0.0244,86,882,300,11985
ya_warmup5000000_sim5000000-400.perlbench-50B,0.9987,0.9464,0.6250,0.7857,1.0000,11,3,42,0
ya_warmup5000000_sim5000000-459.GemsFDTD-1169B,1.0200,0.9349,0.8988,0.9503,0.7408,15629,817,969,339
ya_warmup5000000_sim5000000-410.bwaves-1963B,2.0526,0.9992,0.7199,0.9991,1.0000,57070,50,8155,0
ya_warmup5000000_sim5000000-403.gcc-16B,1.0070,0.1321,0.6510,0.3859,0.1137,335,533,1358,10590
ya_warmup5000000_sim5000000-437.leslie3d-134B,1.4620,0.5895,0.8567,0.8361,0.4439,13101,2568,11780,14758
ya_warmup5000000_sim5000000-453.povray-576B,1.0017,0.2817,0.7500,0.2816,0.2825,2045,5216,139,353
ya_warmup5000000_sim5000000-445.gobmk-30B,1.0173,0.1524,0.3526,0.2781,0.1350,608,1578,2134,13678
ya_warmup5000000_sim5000000-482.sphinx3-1522B,1.6377,0.6184,0.8670,0.9477,0.4167,28990,1599,20814,29134
ya_warmup5000000_sim5000000-483.xalancbmk-736B,1.0025,0.6594,0.0000,0.7931,0.1997,46015,12001,3370,13505
ya_warmup5000000_sim5000000-437.leslie3d-265B,1.3986,0.9276,0.8287,0.8971,0.9606,10901,1250,10787,442
ya_warmup5000000_sim5000000-481.wrf-1254B,1.5275,0.9588,0.9356,0.9648,0.6835,39909,1457,609,282
ya_warmup5000000_sim5000000-481.wrf-816B,2.1449,0.9739,0.9624,0.9765,0.7027,64378,1550,442,187
ya_warmup5000000_sim5000000-445.gobmk-36B,1.0229,0.1576,0.4386,0.2428,0.1479,379,1182,2030,11693
ya_warmup5000000_sim5000000-600.perlbench_s-1273B,1.0002,1.0000,0.4000,1.0000,1.0000,1,0,1,0
ya_warmup5000000_sim5000000-462.libquantum-714B,0.9535,0.9999,0.7945,0.9999,1.0000,107939,8,557,0
ya_warmup5000000_sim5000000-445.gobmk-2B,1.0062,0.2489,0.4861,0.3065,0.2469,293,663,7031,21442
ya_warmup5000000_sim5000000-602.gcc_s-2226B,1.0664,0.7548,0.2460,0.8885,0.2543,78846,9891,6027,17673
ya_warmup5000000_sim5000000-481.wrf-196B,1.1109,0.9445,0.9277,0.9487,0.8225,16866,912,505,109
ya_warmup5000000_sim5000000-481.wrf-1281B,1.5310,0.9485,0.9346,0.9597,0.6783,29959,1259,875,415
ya_warmup5000000_sim5000000-429.mcf-51B,0.9919,0.1300,0.2970,0.1758,0.1191,23509,110230,67424,498498
ya_warmup5000000_sim5000000-437.leslie3d-232B,1.6394,0.9506,0.8104,0.9137,0.9965,14808,1399,12981,45
ya_warmup5000000_sim5000000-482.sphinx3-1395B,1.3849,0.7423,0.8258,0.9692,0.3454,41726,1324,8504,16117
ya_warmup5000000_sim5000000-444.namd-120B,1.0187,0.7671,0.8886,0.7561,1.0000,6640,2142,415,0
ya_warmup5000000_sim5000000-435.gromacs-134B,1.0079,0.4256,0.8592,0.2469,0.6716,525,1601,1037,507
ya_warmup5000000_sim5000000-473.astar-42B,0.9210,0.0435,0.0000,0.1237,0.0186,13099,92762,6357,334761
ya_warmup5000000_sim5000000-410.bwaves-2097B,2.0223,0.9990,0.7081,0.9988,1.0000,56362,66,7737,0
ya_warmup5000000_sim5000000-459.GemsFDTD-1320B,1.3970,0.2818,0.8324,0.2285,0.2872,825,2786,10279,25511
ya_warmup5000000_sim5000000-471.omnetpp-188B,0.8407,0.2366,0.4497,0.3425,0.2285,5944,11409,51679,174494
ya_warmup5000000_sim5000000-444.namd-321B,1.0058,0.6029,0.9424,0.5957,0.9703,3054,2073,98,3
ya_warmup5000000_sim5000000-459.GemsFDTD-765B,1.1634,0.3975,0.5856,0.9592,0.2563,12969,552,13795,40019
ya_warmup5000000_sim5000000-437.leslie3d-149B,1.4900,0.6074,0.8473,0.8710,0.4503,13399,1984,11621,14187
ya_warmup5000000_sim5000000-435.gromacs-228B,1.0118,0.3355,0.7944,0.2527,1.0000,1161,3433,572,0
ya_warmup5000000_sim5000000-459.GemsFDTD-1211B,1.1839,0.4407,0.6163,0.9435,0.3102,11971,717,15169,33729
ya_warmup5000000_sim5000000-429.mcf-184B,1.4062,0.3179,0.5328,0.0772,0.3183,73,872,210577,451031
ya_warmup5000000_sim5000000-436.cactusADM-1804B,1.1753,0.9865,0.4954,0.9763,0.9960,4114,100,4492,18
ya_warmup5000000_sim5000000-444.namd-166B,1.0467,0.7196,0.8797,0.6583,1.0000,2576,1337,855,0
ya_warmup5000000_sim5000000-482.sphinx3-234B,1.7136,0.6346,0.8730,0.9000,0.5423,18850,2094,32659,27565
ya_warmup5000000_sim5000000-600.perlbench_s-210B,0.9997,0.4707,0.5403,0.3268,0.6420,100,206,165,92
ya_warmup5000000_sim5000000-465.tonto-44B,0.9997,0.6186,0.5755,0.7619,0.5789,16,5,44,32
ya_warmup5000000_sim5000000-473.astar-359B,1.0501,0.0691,0.3332,0.1368,0.0291,17452,110083,6295,210026
ya_warmup5000000_sim5000000-483.xalancbmk-716B,1.0628,0.6264,0.5920,0.6730,0.1992,32693,15886,1056,4246
ya_warmup5000000_sim5000000-401.bzip2-226B,1.0022,0.9987,0.7737,0.9987,1.0000,1498,2,13,0
ya_warmup5000000_sim5000000-470.lbm-1274B,0.9073,0.9978,0.7716,1.0000,0.4696,27559,0,54,61
ya_warmup5000000_sim5000000-454.calculix-460B,1.0884,0.8443,0.9028,0.8689,0.5379,44696,6743,2226,1912
ya_warmup5000000_sim5000000-437.leslie3d-271B,1.9404,0.9897,0.9598,0.9917,0.0000,11774,98,0,25
ya_warmup5000000_sim5000000-435.gromacs-111B,1.0083,0.4246,0.8866,0.2091,0.7040,407,1539,1056,444
ya_warmup5000000_sim5000000-429.mcf-217B,1.6751,0.7873,0.8506,0.8740,0.7092,15573,2246,14024,5750
ya_warmup5000000_sim5000000-429.mcf-22B,1.0400,0.4717,0.3894,0.7559,0.4046,10233,3305,23199,34142
ya_warmup5000000_sim5000000-453.povray-800B,1.0012,0.3212,0.8369,0.3134,0.6389,1831,4011,92,52
ya_warmup5000000_sim5000000-465.tonto-1914B,1.0091,0.6948,0.5764,0.8541,0.2418,7441,1271,741,2323
ya_warmup5000000_sim5000000-453.povray-887B,1.0006,0.3170,0.8361,0.3148,1.0000,2554,5559,26,0
ya_warmup5000000_sim5000000-401.bzip2-38B,1.2069,0.8178,0.9650,0.4786,0.8271,235,256,14827,3099
ya_warmup5000000_sim5000000-459.GemsFDTD-1418B,1.6205,0.8716,0.7619,0.8781,0.8624,14059,1951,9811,1566
ya_warmup5000000_sim5000000-483.xalancbmk-127B,1.0420,0.2249,0.4929,0.3606,0.2089,11579,20528,56931,215608
ya_warmup5000000_sim5000000-481.wrf-1170B,1.0129,0.6989,0.5408,0.2231,0.9990,139,484,987,1
ya_warmup5000000_sim5000000-464.h264ref-64B,1.1408,0.4757,0.8945,0.8075,0.3122,7207,1718,5656,12460
ya_warmup5000000_sim5000000-445.gobmk-17B,1.0318,0.2311,0.6455,0.3082,0.2210,515,1156,2839,10006
ya_warmup5000000_sim5000000-464.h264ref-30B,0.9972,0.4851,0.4557,0.8490,0.1179,2238,398,308,2304
ya_warmup5000000_sim5000000-433.milc-274B,1.0394,0.5275,0.5593,0.9982,0.1825,26110,46,6511,29170
ya_warmup5000000_sim5000000-403.gcc-48B,1.0408,0.4799,0.7181,0.4894,0.4688,810,845,660,748
ya_warmup5000000_sim5000000-444.namd-44B,1.0126,0.6228,0.6153,0.5654,1.0000,1159,891,312,0
ya_warmup5000000_sim5000000-600.perlbench_s-570B,1.0002,0.6546,0.5249,0.2645,0.9328,73,203,361,26
ya_warmup5000000_sim5000000-456.hmmer-88B,1.0067,0.6716,0.4054,0.8648,0.3747,2923,457,824,1375
ya_warmup5000000_sim5000000-435.gromacs-226B,1.0172,0.3141,0.7875,0.2399,1.0000,1197,3793,540,0
ya_warmup5000000_sim5000000-458.sjeng-31B,0.9976,0.0456,0.0801,0.1203,0.0348,207,1514,413,11452
ya_warmup5000000_sim5000000-437.leslie3d-273B,1.3619,0.9434,0.8233,0.9047,0.9818,10428,1098,11359,210
ya_warmup5000000_sim5000000-400.perlbench-41B,0.9980,0.1746,0.5610,0.2578,0.1689,1677,4829,16176,79571
ya_warmup5000000_sim5000000-464.h264ref-57B,1.0085,0.4573,0.6263,0.8183,0.2023,2670,593,934,3684
ya_warmup5000000_sim5000000-429.mcf-192B,1.4128,0.3285,0.5722,0.0000,0.3285,0,0,238401,487264
ya_warmup5000000_sim5000000-453.povray-252B,1.0037,0.2946,0.6202,0.2706,0.8625,1858,5009,251,40
ya_warmup5000000_sim5000000-444.namd-23B,1.0180,0.6230,0.8557,0.6024,0.9485,2220,1465,221,12
ya_warmup5000000_sim5000000-458.sjeng-1088B,1.0007,0.0387,0.0946,0.0827,0.0328,117,1298,351,10336
ya_warmup5000000_sim5000000-434.zeusmp-10B,1.1712,0.1926,0.6485,0.1522,0.4159,7122,39684,3528,4954
ya_warmup5000000_sim5000000-433.milc-127B,0.9900,0.4310,0.1955,1.0000,0.1298,20589,0,5048,33842
ya_warmup5000000_sim5000000-447.dealII-3B,1.0022,0.8725,0.8824,0.8706,1.0000,4392,653,76,0
ya_warmup5000000_sim5000000-450.soplex-247B,1.4441,0.5325,0.6791,0.8926,0.4304,37847,4555,64315,85121
ya_warmup5000000_sim5000000-401.bzip2-7B,1.0542,0.3915,0.6920,0.5833,0.3565,1449,1035,4846,8749
ya_warmup5000000_sim5000000-416.gamess-875B,1.0040,0.5527,0.6373,0.3453,0.9850,144,273,197,3
ya_warmup5000000_sim5000000-401.bzip2-277B,0.6382,0.1086,0.1805,0.0673,0.1086,21,291,26227,215180
ya_warmup5000000_sim5000000-482.sphinx3-1100B,1.6415,0.5919,0.8581,0.9465,0.4190,26765,1514,24310,33706
ya_warmup5000000_sim5000000-454.calculix-104B,1.0001,1.0000,0.2500,1.0000,1.0000,2,0,1,0
ya_warmup5000000_sim5000000-481.wrf-455B,1.6392,0.9329,0.8717,0.9372,0.8950,29065,1946,3222,378
