Workload,Speedup
ya-602.gcc_s-1850B,2.3932928347723164
ya-410.bwaves-1963B,2.079105495672217
ya-410.bwaves-2097B,2.064984765441026
ya-462.libquantum-1343B,2.0619839088760648
ya-459.GemsFDTD-1491B,1.8373103830693116
ya-482.sphinx3-1297B,1.6788463756566598
ya-481.wrf-1254B,1.6637005935868374
ya-482.sphinx3-1522B,1.6560110390957998
ya-482.sphinx3-1395B,1.6172287061268746
ya-429.mcf-217B,1.5972966834745883
ya-481.wrf-816B,1.4665798384996094
ya-482.sphinx3-417B,1.436875068844239
ya-459.GemsFDTD-1418B,1.427005516452198
ya-437.leslie3d-134B,1.4155156007591054
ya-481.wrf-455B,1.3947110758053383
ya-437.leslie3d-273B,1.3821091559339507
ya-437.leslie3d-265B,1.371431393535663
ya-437.leslie3d-149B,1.3556711076465169
ya-482.sphinx3-1100B,1.316360504428533
ya-403.gcc-17B,1.3053036535546665
ya-482.sphinx3-234B,1.2824382477615075
ya-437.leslie3d-232B,1.280465123114581
ya-437.leslie3d-271B,1.278615413610471
ya-436.cactusADM-1804B,1.2540265948420593
ya-481.wrf-1281B,1.2487834613808106
ya-450.soplex-92B,1.2219005824426374
ya-401.bzip2-38B,1.192014658643623
ya-429.mcf-192B,1.185488790030189
ya-483.xalancbmk-127B,1.1775698368728456
ya-434.zeusmp-10B,1.1667975482344348
ya-429.mcf-184B,1.144845040712752
ya-473.astar-153B,1.1446337013707955
GMean,1.139875783569782
ya-459.GemsFDTD-1169B,1.1354639681546064
ya-429.mcf-51B,1.1267640902922285
ya-433.milc-337B,1.122548889312044
ya-481.wrf-196B,1.1063807492234572
ya-435.gromacs-134B,1.0954349385527096
ya-433.milc-274B,1.0840684206016362
ya-602.gcc_s-2226B,1.0830419140405507
ya-462.libquantum-714B,1.0821948125400502
ya-429.mcf-22B,1.0801398921114027
ya-473.astar-42B,1.0694684933681238
ya-444.namd-321B,1.069011262965766
ya-454.calculix-460B,1.0590791745368542
ya-435.gromacs-111B,1.0577860783134436
ya-450.soplex-247B,1.0457676528461728
ya-444.namd-120B,1.044728642127539
ya-483.xalancbmk-716B,1.0418002063498282
ya-459.GemsFDTD-1211B,1.0353220044474973
ya-473.astar-359B,1.0340712683142554
ya-435.gromacs-226B,1.0334446001048752
ya-444.namd-426B,1.0316577718419826
ya-464.h264ref-64B,1.031608649526988
ya-401.bzip2-7B,1.0294976064349912
ya-456.hmmer-327B,1.0281229332950756
ya-481.wrf-1170B,1.0275017914024724
ya-445.gobmk-36B,1.026715416136781
ya-435.gromacs-228B,1.024818480294668
ya-403.gcc-48B,1.0229197517377548
ya-444.namd-23B,1.0187862914876364
ya-456.hmmer-88B,1.0178482153544999
ya-444.namd-33B,1.017093923157943
ya-433.milc-127B,1.015726178330828
ya-483.xalancbmk-736B,1.013774202193557
ya-445.gobmk-30B,1.0129066755109395
ya-444.namd-166B,1.0124250667288983
ya-456.hmmer-191B,1.012104984829239
ya-416.gamess-875B,1.009079333596144
ya-444.namd-44B,1.0049908097855127
ya-465.tonto-1914B,1.0046731097684536
ya-445.gobmk-17B,1.0038396229628104
ya-401.bzip2-226B,1.0025556553858441
ya-403.gcc-16B,1.0022986896176571
ya-447.dealII-3B,1.0015986737762617
ya-445.gobmk-2B,1.0008172444873322
ya-464.h264ref-97B,1.0007097976599837
ya-600.perlbench_s-1273B,1.0005076832122264
ya-410.bwaves-945B,1.0
ya-454.calculix-104B,1.0
ya-400.perlbench-50B,1.0
ya-README.md,1.0
ya-453.povray-576B,0.9996119367286023
ya-453.povray-252B,0.9993896186051733
ya-458.sjeng-31B,0.9991653309499715
ya-453.povray-800B,0.9989590399486921
ya-458.sjeng-283B,0.9987696551072173
ya-453.povray-887B,0.997850833571309
ya-458.sjeng-1088B,0.9977564836884507
ya-465.tonto-44B,0.9977553467185397
ya-464.h264ref-30B,0.9973672552012935
ya-458.sjeng-767B,0.9972005141968547
ya-464.h264ref-57B,0.9937100811028899
ya-600.perlbench_s-570B,0.9912340255591054
ya-400.perlbench-41B,0.9866169080651878
ya-600.perlbench_s-210B,0.9861877359760007
ya-459.GemsFDTD-765B,0.9794871077521348
ya-459.GemsFDTD-1320B,0.9775187085819045
ya-471.omnetpp-188B,0.9284649053123126
ya-470.lbm-1274B,0.9208341167744587
ya-401.bzip2-277B,0.9033245422187915
