workload,pmp
ya-482.sphinx3-417B,1.4369
ya-456.hmmer-191B,1.0121
ya-458.sjeng-283B,0.9988
ya-444.namd-33B,1.0171
ya-444.namd-426B,1.0317
ya-462.libquantum-1343B,2.0620
ya-464.h264ref-97B,1.0007
ya-602.gcc_s-1850B,2.3933
ya-403.gcc-17B,1.3053
ya-410.bwaves-945B,1.0000
ya-459.GemsFDTD-1491B,1.8373
ya-433.milc-337B,1.1225
ya-482.sphinx3-1297B,1.6788
ya-456.hmmer-327B,1.0281
ya-473.astar-153B,1.1446
ya-450.soplex-92B,1.2219
ya-458.sjeng-767B,0.9972
ya-400.perlbench-50B,1.0000
ya-459.GemsFDTD-1169B,1.1355
ya-410.bwaves-1963B,2.0791
ya-403.gcc-16B,1.0023
ya-437.leslie3d-134B,1.4155
ya-453.povray-576B,0.9996
ya-445.gobmk-30B,1.0129
ya-482.sphinx3-1522B,1.6560
ya-483.xalancbmk-736B,1.0138
ya-437.leslie3d-265B,1.3714
ya-481.wrf-1254B,1.6637
ya-481.wrf-816B,1.4666
ya-445.gobmk-36B,1.0267
ya-600.perlbench_s-1273B,1.0005
ya-462.libquantum-714B,1.0822
ya-445.gobmk-2B,1.0008
ya-602.gcc_s-2226B,1.0830
ya-481.wrf-196B,1.1064
ya-481.wrf-1281B,1.2488
ya-429.mcf-51B,1.1268
ya-437.leslie3d-232B,1.2805
ya-482.sphinx3-1395B,1.6172
ya-444.namd-120B,1.0447
ya-435.gromacs-134B,1.0954
ya-473.astar-42B,1.0695
ya-410.bwaves-2097B,2.0650
ya-459.GemsFDTD-1320B,0.9775
ya-471.omnetpp-188B,0.9285
ya-444.namd-321B,1.0690
ya-459.GemsFDTD-765B,0.9795
ya-437.leslie3d-149B,1.3557
ya-435.gromacs-228B,1.0248
ya-459.GemsFDTD-1211B,1.0353
ya-429.mcf-184B,1.1448
ya-436.cactusADM-1804B,1.2540
ya-README.md,1.0000
ya-444.namd-166B,1.0124
ya-482.sphinx3-234B,1.2824
ya-600.perlbench_s-210B,0.9862
ya-465.tonto-44B,0.9978
ya-473.astar-359B,1.0341
ya-483.xalancbmk-716B,1.0418
ya-401.bzip2-226B,1.0026
ya-470.lbm-1274B,0.9208
ya-454.calculix-460B,1.0591
ya-437.leslie3d-271B,1.2786
ya-435.gromacs-111B,1.0578
ya-429.mcf-217B,1.5973
ya-429.mcf-22B,1.0801
ya-453.povray-800B,0.9990
ya-465.tonto-1914B,1.0047
ya-453.povray-887B,0.9979
ya-401.bzip2-38B,1.1920
ya-459.GemsFDTD-1418B,1.4270
ya-483.xalancbmk-127B,1.1776
ya-481.wrf-1170B,1.0275
ya-464.h264ref-64B,1.0316
ya-445.gobmk-17B,1.0038
ya-464.h264ref-30B,0.9974
ya-433.milc-274B,1.0841
ya-403.gcc-48B,1.0229
ya-444.namd-44B,1.0050
ya-600.perlbench_s-570B,0.9912
ya-456.hmmer-88B,1.0178
ya-435.gromacs-226B,1.0334
ya-458.sjeng-31B,0.9992
ya-437.leslie3d-273B,1.3821
ya-400.perlbench-41B,0.9866
ya-464.h264ref-57B,0.9937
ya-429.mcf-192B,1.1855
ya-453.povray-252B,0.9994
ya-444.namd-23B,1.0188
ya-458.sjeng-1088B,0.9978
ya-434.zeusmp-10B,1.1668
ya-433.milc-127B,1.0157
ya-447.dealII-3B,1.0016
ya-450.soplex-247B,1.0458
ya-401.bzip2-7B,1.0295
ya-416.gamess-875B,1.0091
ya-401.bzip2-277B,0.9033
ya-482.sphinx3-1100B,1.3164
ya-454.calculix-104B,1.0000
ya-481.wrf-455B,1.3947
