workload,pmp_Speedup,pmp_Overall_Accuracy,pmp_LLC_Coverage,pmp_L1D_Accuracy,pmp_L2C_Accuracy,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless
ya-482.sphinx3-417B,1.4369,0.7792,0.7555,0.9382,0.4003,17037,1123,3048,4567
ya-456.hmmer-191B,1.0121,0.6827,0.9149,0.6743,0.9324,1493,721,69,5
ya-458.sjeng-283B,0.9988,0.0729,0.0822,0.0829,0.0626,113,1250,83,1243
ya-444.namd-33B,1.0171,0.4873,0.8596,0.4825,1.0000,1908,2046,37,0
ya-444.namd-426B,1.0317,0.5159,0.8900,0.4849,1.0000,1560,1657,206,0
ya-462.libquantum-1343B,2.0620,0.9985,0.8980,0.9985,0.0000,40611,59,0,0
ya-464.h264ref-97B,1.0007,0.7471,0.5455,0.7468,0.7517,1386,470,112,37
ya-602.gcc_s-1850B,2.3933,0.8224,0.9051,0.8271,0.4888,38708,8091,326,341
ya-403.gcc-17B,1.3053,0.3717,0.7115,0.4182,0.3689,647,900,9598,16417
ya-410.bwaves-945B,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0
ya-459.GemsFDTD-1491B,1.8373,0.9091,0.7665,0.9109,0.0000,37622,3679,0,81
ya-433.milc-337B,1.1225,0.9759,0.5919,0.9765,0.8878,14035,338,87,11
ya-482.sphinx3-1297B,1.6788,0.9223,0.8639,0.9528,0.5559,20927,1037,1015,811
ya-456.hmmer-327B,1.0281,0.7170,0.7742,0.7138,0.9655,1614,647,28,1
ya-473.astar-153B,1.1446,0.1675,0.5587,0.2406,0.1352,952,3005,1208,7728
ya-450.soplex-92B,1.2219,0.5073,0.4742,0.8650,0.2553,19369,3023,8114,23668
ya-458.sjeng-767B,0.9972,0.0425,0.0528,0.0536,0.0320,73,1288,46,1390
ya-400.perlbench-50B,1.0000,0.8000,1.0000,0.8000,0.0000,8,2,0,0
ya-459.GemsFDTD-1169B,1.1355,0.9236,0.8653,0.9240,0.2000,8293,682,1,4
ya-410.bwaves-1963B,2.0791,0.9806,0.7518,0.9806,1.0000,27348,541,6,0
ya-403.gcc-16B,1.0023,0.1678,0.2846,0.1972,0.1555,195,794,369,2004
ya-437.leslie3d-134B,1.4155,0.5752,0.8876,0.7181,0.4142,6733,2643,3446,4873
ya-453.povray-576B,0.9996,0.2596,0.7248,0.2548,0.5619,1679,4911,59,46
ya-445.gobmk-30B,1.0129,0.1287,0.2434,0.1737,0.1121,307,1460,540,4275
ya-482.sphinx3-1522B,1.6560,0.8302,0.8449,0.9007,0.6108,16909,1865,3684,2347
ya-483.xalancbmk-736B,1.0138,0.6517,0.2038,0.6802,0.2296,20775,9768,473,1587
ya-437.leslie3d-265B,1.3714,0.8718,0.8162,0.8472,0.9773,7516,1356,2028,47
ya-481.wrf-1254B,1.6637,0.9699,0.9206,0.9704,0.6935,29318,893,43,19
ya-481.wrf-816B,1.4666,0.9735,0.9638,0.9743,0.2400,20827,549,6,19
ya-445.gobmk-36B,1.0267,0.1320,0.4437,0.1618,0.1211,227,1176,461,3347
ya-600.perlbench_s-1273B,1.0005,0.4332,0.2957,0.4061,1.0000,119,174,14,0
ya-462.libquantum-714B,1.0822,1.0000,0.8594,1.0000,0.0000,39071,0,0,0
ya-445.gobmk-2B,1.0008,0.2144,0.4000,0.2399,0.2072,514,1629,1580,6044
ya-602.gcc_s-2226B,1.0830,0.7490,0.2510,0.7875,0.4316,32854,8867,2184,2876
ya-481.wrf-196B,1.1064,0.9041,0.9402,0.9055,0.6522,7257,757,30,16
ya-481.wrf-1281B,1.2488,0.9444,0.9631,0.9442,1.0000,11971,707,28,0
ya-429.mcf-51B,1.1268,0.1539,0.1590,0.0533,0.3076,2734,48521,10319,23231
ya-437.leslie3d-232B,1.2805,0.9593,0.9065,0.9653,0.8581,16457,591,871,144
ya-482.sphinx3-1395B,1.6172,0.8745,0.8784,0.9309,0.5207,18326,1360,1635,1505
ya-444.namd-120B,1.0447,0.4479,0.9054,0.4133,1.0000,1843,2616,279,0
ya-435.gromacs-134B,1.0954,0.5136,0.6657,0.2224,0.8800,338,1182,1063,145
ya-473.astar-42B,1.0695,0.0989,0.6571,0.1104,0.0851,5352,43134,3410,36664
ya-410.bwaves-2097B,2.0650,0.9835,0.7433,0.9835,1.0000,27067,455,10,0
ya-459.GemsFDTD-1320B,0.9775,0.1267,0.2556,0.1787,0.0371,5175,23783,623,16191
ya-471.omnetpp-188B,0.9285,0.1839,0.1260,0.1926,0.1816,2072,8687,7230,32587
ya-444.namd-321B,1.0690,0.5086,0.8683,0.4437,1.0000,1836,2302,547,0
ya-459.GemsFDTD-765B,0.9795,0.5013,0.5148,0.9057,0.2530,6678,695,3037,8968
ya-437.leslie3d-149B,1.3557,0.6214,0.8558,0.7535,0.4302,7304,2389,2882,3817
ya-435.gromacs-228B,1.0248,0.3068,0.5573,0.2512,1.0000,473,1410,151,0
ya-459.GemsFDTD-1211B,1.0353,0.5402,0.5789,0.8925,0.3202,6589,794,3784,8035
ya-429.mcf-184B,1.1448,0.1615,0.2593,0.0425,0.2439,4336,97730,35975,111502
ya-436.cactusADM-1804B,1.2540,0.7220,0.6731,0.6888,0.9523,4407,1991,879,44
ya-README.md,1.0000,0.0000,1.0000,0.0000,0.0000,0,0,0,0
ya-444.namd-166B,1.0124,0.5151,0.9254,0.5140,1.0000,3539,3346,15,0
ya-482.sphinx3-234B,1.2824,0.5267,0.6598,0.7032,0.4437,7076,2986,9492,11900
ya-600.perlbench_s-210B,0.9862,0.2204,0.2453,0.1897,1.0000,154,658,32,0
ya-465.tonto-44B,0.9978,0.8203,0.4053,0.8730,0.2415,5964,868,150,471
ya-473.astar-359B,1.0341,0.1296,0.3327,0.1442,0.1059,7054,41852,3196,26972
ya-483.xalancbmk-716B,1.0418,0.5459,0.4307,0.5483,0.3445,13379,11020,103,196
ya-401.bzip2-226B,1.0026,0.9145,0.8067,0.9145,0.0000,631,59,0,0
ya-470.lbm-1274B,0.9208,0.9246,0.7630,0.9246,0.0000,10990,896,0,0
ya-454.calculix-460B,1.0591,0.9012,0.8906,0.9015,0.8030,22535,2463,53,13
ya-437.leslie3d-271B,1.2786,0.9880,0.9578,0.9880,0.0000,4700,57,0,0
ya-435.gromacs-111B,1.0578,0.6033,0.4163,0.2045,0.7983,190,739,1516,383
ya-429.mcf-217B,1.5973,0.7280,0.7795,0.8370,0.5084,12348,2404,3723,3600
ya-429.mcf-22B,1.0801,0.5590,0.3848,0.7116,0.4997,5049,2046,9116,9127
ya-453.povray-800B,0.9990,0.3084,0.5802,0.3055,1.0000,2713,6168,37,0
ya-465.tonto-1914B,1.0047,0.7747,0.3693,0.7825,0.5526,5928,1648,147,119
ya-453.povray-887B,0.9979,0.3054,0.4746,0.3047,0.7059,2744,6263,12,5
ya-401.bzip2-38B,1.1920,0.8220,0.9520,0.3699,0.8377,54,92,3511,680
ya-459.GemsFDTD-1418B,1.4270,0.8794,0.8056,0.8615,0.9387,7870,1265,2587,169
ya-483.xalancbmk-127B,1.1776,0.2989,0.5720,0.3661,0.2858,6487,11233,25871,64660
ya-481.wrf-1170B,1.0275,0.3350,0.5270,0.2018,1.0000,273,1080,271,0
ya-464.h264ref-64B,1.0316,0.4459,0.6284,0.5910,0.3830,1172,811,1752,2822
ya-445.gobmk-17B,1.0038,0.1406,0.2113,0.2645,0.0666,178,495,75,1051
ya-464.h264ref-30B,0.9974,0.7666,0.4475,0.7596,0.9186,1425,451,79,7
ya-433.milc-274B,1.0841,0.9378,0.4735,0.9616,0.1201,10981,438,40,293
ya-403.gcc-48B,1.0229,0.3965,0.5243,0.3794,0.7577,1551,2537,147,47
ya-444.namd-44B,1.0050,0.5482,0.8065,0.5471,1.0000,4508,3732,21,0
ya-600.perlbench_s-570B,0.9912,0.1659,0.1184,0.1058,1.0000,22,186,15,0
ya-456.hmmer-88B,1.0178,0.7324,0.9592,0.7313,0.9231,1625,597,12,1
ya-435.gromacs-226B,1.0334,0.2848,0.6121,0.2240,1.0000,440,1524,167,0
ya-458.sjeng-31B,0.9992,0.0430,0.0720,0.0792,0.0223,160,1860,79,3463
ya-437.leslie3d-273B,1.3821,0.9156,0.8512,0.8895,0.9893,7016,872,2770,30
ya-400.perlbench-41B,0.9866,0.1722,0.2619,0.1635,0.1758,512,2620,1329,6229
ya-464.h264ref-57B,0.9937,0.7739,0.4521,0.7681,0.8824,1474,445,90,12
ya-429.mcf-192B,1.1855,0.0849,0.2078,0.0060,0.0869,20,3308,11641,122383
ya-453.povray-252B,0.9994,0.2831,0.8947,0.2784,0.9216,1928,4998,47,4
ya-444.namd-23B,1.0188,0.5439,0.7829,0.5409,1.0000,6691,5680,83,0
ya-458.sjeng-1088B,0.9978,0.0234,0.0167,0.0374,0.0129,67,1726,31,2373
ya-434.zeusmp-10B,1.1668,0.1354,0.6441,0.1304,0.2889,4748,31660,340,837
ya-433.milc-127B,1.0157,0.9989,0.1933,1.0000,0.9703,9781,0,359,11
ya-447.dealII-3B,1.0016,0.7545,0.7193,0.7541,1.0000,2380,776,5,0
ya-450.soplex-247B,1.0458,0.5053,0.6004,0.8439,0.2566,10703,1980,4431,12838
ya-401.bzip2-7B,1.0295,0.5130,0.8382,0.4572,0.9054,1494,1774,421,44
ya-416.gamess-875B,1.0091,0.3064,0.5391,0.2086,1.0000,222,842,150,0
ya-401.bzip2-277B,0.9033,0.1603,0.3009,0.0469,0.1605,3,61,7070,36989
ya-482.sphinx3-1100B,1.3164,0.5055,0.6895,0.6284,0.4695,4499,2660,11468,12958
ya-454.calculix-104B,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0
ya-481.wrf-455B,1.3947,0.8782,0.8897,0.8771,0.9238,21171,2966,521,43
